parameters,shrinkage_mode,shrinkage_mean,shrinkage_condDist
rP,49.121,47.6357,-1.51438
nC,45.742,49.7758,1.16237
e,56.3941,53.115,-0.477939
KP,49.5199,50.5078,-0.772181
rTA,58.6659,59.539,-0.308883
Kr,52.7777,49.3159,-0.809914
KA,52.7918,53.1415,-5.68176
lTA,-5.30272,-5.38629,-0.493246
kA,58.3727,56.5648,-0.221359
lTN,-5.32237,-5.39007,-0.473024
rN,50.6546,55.3358,12.8383
km,80.6677,76.8564,1.69761
kb,62.247,55.1537,15.7778
KN,39.898,52.7326,6.08578
nP0,97.2219,96.569,6.58127
nTA0,96.2679,96.4615,8.76171
nTN0,97.8672,96.6177,4.25085
nN0,7.11921,67.237,30.2471
