rep,id,rP,nC,e,KP,rTA,Kr,KA,lTA,kA,lTN,rN,km,kb,KN,nP0,nTA0,nTN0,nN0
1,0,0.0907766,1305.74,38.7586,27.3039,3.09655,103.143,48.2371,0.117311,0.923889,0.10116,0.106651,4.60556e-07,14.9295,16377.9,2200.25,49.998,16.5002,18.6224
2,0,0.226278,3689.42,69.3719,811.464,1.82622,29.697,215.716,0.117317,0.786775,0.101157,0.0982889,0.000473522,6.24068,81475.8,2200.23,49.9996,16.5002,19.6008
3,0,0.130303,21090.5,24.4209,204.4,1.67822,287.847,0.694428,0.117325,0.33676,0.101153,0.0919051,0.000313792,14.8981,42296.7,2200.23,50.0006,16.5003,18.7289
4,0,0.410779,18932.3,29.7097,201.879,2.14801,518.927,129.727,0.117322,0.514395,0.101165,0.092762,0.000263847,20.7271,26380.4,2200.24,50.0007,16.4999,18.9448
5,0,0.0285201,787.752,29.6041,45.1569,2.70315,261.933,44.5441,0.117307,0.699927,0.101155,0.120195,6.69765e-07,15.4648,6089.1,2200.24,50.0025,16.5,19.6056
6,0,0.0880075,1307.76,38.786,27.3843,3.09607,102.787,47.9823,0.117313,0.92381,0.101165,0.105981,1.36214e-06,15.4616,16644.8,2200.24,49.9975,16.5,18.9256
7,0,0.226278,3711.15,69.3691,811.292,1.82667,29.7023,215.394,0.117347,0.78642,0.101169,0.0974268,0.00103306,7.01444,74577.5,2200.25,50.003,16.5,19.3434
8,0,0.130303,21013.2,24.4219,204.4,1.6786,287.841,0.693698,0.117338,0.336964,0.101144,0.092618,5.2882e-05,11.8134,43151.4,2200.23,49.9976,16.4999,18.9929
9,0,0.410779,18991.8,29.7078,201.789,2.14779,518.924,129.746,0.11732,0.514465,0.101137,0.0926962,0.000412214,21.2457,24457.8,2200.25,50.0003,16.5001,18.5696
10,0,0.0285118,787.752,29.5995,45.1286,2.7043,262.47,44.4308,0.117315,0.700268,0.101125,0.121709,0.000172296,15.1692,5702.84,2200.24,49.9998,16.5,19.735
1,1,2.33659e-06,4655.38,14.7107,2.94295,2.13156,1089.06,145.743,0.105458,0.398329,0.104898,0.0975823,3.28167e-05,10.809,20776.8,2200.24,50.0012,16.5,18.6716
2,1,0.00043944,5047.21,26.4723,318.656,1.5137,186.776,0.729388,0.105452,0.302872,0.104926,0.097741,7.99605e-06,18.0272,14489.8,2200.24,50.0017,16.5,19.92
3,1,0.00524657,14606.7,8.36138,4.53008,0.777468,425.9,445.07,0.105448,0.247373,0.104897,0.0950812,2.58798e-06,23.9314,4415.91,2200.23,50.004,16.4999,19.5616
4,1,0.0869259,53984.3,13.574,16.029,0.840324,56.163,0.018253,0.10546,0.238874,0.104893,0.0931263,0.000908856,6.47836,24576.3,2200.25,50.0034,16.4998,18.7008
5,1,0.00128571,7335.57,19.119,167.576,0.931935,20.6401,26.792,0.105452,0.297749,0.104893,0.0963216,0.000140799,27.659,7704.5,2200.24,50.0005,16.5001,19.5318
6,1,4.27486e-06,3967.09,14.7143,3.09648,2.13202,1089.15,146.045,0.105449,0.398479,0.1049,0.0964439,0.000173222,9.34261,26333.7,2200.24,50.0024,16.4998,18.9678
7,1,0.000244572,4412.8,26.4712,318.683,1.51362,186.701,0.73528,0.105476,0.303136,0.10489,0.0969525,1.00136e-05,18.6809,13377.8,2200.25,49.999,16.5001,20.4775
8,1,0.0053814,14593.9,8.35864,4.40575,0.777154,425.986,445.07,0.105465,0.247233,0.104881,0.0945914,6.76069e-06,30.7633,4380.74,2200.24,50.0027,16.5001,19.2841
9,1,0.0870284,63290.8,13.5718,15.9762,0.840034,56.4566,0.0256191,0.10545,0.238945,0.104939,0.0937252,0.000917422,6.02697,27888.9,2200.25,50.0032,16.4997,18.0401
10,1,0.00161915,12642,19.1225,167.646,0.931817,20.5955,26.931,0.105468,0.297776,0.104899,0.0948613,1.9536e-06,32.8841,7157.03,2200.24,50.0003,16.5,19.8528
1,2,0.000206791,17337.4,32.2575,981.24,0.517965,23.2731,17.2048,0.129128,0.208092,0.087697,0.0952422,3.14237e-06,7.91079,51672,2200.23,50.0003,16.5002,19.5352
2,2,0.366612,542.339,138.388,7.36264,8.47598,9.33191,5.32136,0.128735,3.49335,0.0878192,0.157354,0.061873,5.19184,23232.7,2200.23,50.0002,16.4996,20.0706
3,2,0.000808236,1034.54,72.6201,247.863,3.33211,93.7614,4.6855,0.128757,1.105,0.0878044,0.117745,7.78882e-07,8.00773,25521.4,2200.24,50.0027,16.5001,20.1931
4,2,0.0922297,40775.8,16.6347,1.33293,0.918633,94.8768,219.515,0.128784,0.423815,0.087816,0.0951239,8.2813e-05,11.0812,24384.6,2200.25,49.9977,16.5001,19.0083
5,2,0.000350613,3344.26,11.6561,21.3515,0.525466,0.798603,221.737,0.128763,0.283478,0.0878045,0.100345,3.03255e-05,11.7835,8702.36,2200.24,50.0002,16.5002,18.748
6,2,1.48168e-05,9469.81,32.3157,967.307,0.524965,23.281,16.482,0.129076,0.20985,0.0877206,0.0946738,4.68966e-06,7.45088,58380,2200.24,49.9978,16.4998,19.9826
7,2,0.369937,545.122,138.314,7.29586,8.4726,9.33961,5.18001,0.128746,3.49293,0.087812,0.158305,0.0605027,5.35361,22784.3,2200.24,50.0018,16.5002,18.6593
8,2,0.000451922,1070.26,72.6166,247.828,3.33246,93.8672,4.73595,0.128753,1.10562,0.0877933,0.116436,9.38538e-08,8.54596,23838.3,2200.24,50.0012,16.4999,20.6833
9,2,0.0922297,52078,16.6376,1.18585,0.918405,94.9509,219.88,0.128772,0.423766,0.0878036,0.0940778,5.35502e-06,11.1871,35435.2,2200.25,49.996,16.4999,19.3405
10,2,0.000391287,3660.91,11.6572,21.3867,0.52578,0.827481,221.694,0.128775,0.283561,0.087785,0.0991821,2.12901e-06,16.3793,7136.55,2200.22,49.9994,16.4998,19.0036
1,3,0.0108594,1137.62,18.9288,9.66535,1.39831,77.456,190.519,0.112825,0.46686,0.104981,0.107569,2.87395e-06,12.3528,4768.04,2200.26,49.9995,16.5001,20.3424
