rep,id,eta_rP,eta_nC,eta_e,eta_KP,eta_rTA,eta_Kr,eta_KA,eta_lTA,eta_kA,eta_lTN,eta_rN,eta_km,eta_kb,eta_KN,eta_nP0,eta_nTA0,eta_nTN0,eta_nN0
1,0,2.5723,-0.989448,0.381467,0.440584,0.670731,0.534268,2.52541,0.000712285,0.648314,0.0336476,0.0168155,-3.68592,0.30277,0.0378907,4.33676e-06,-5.59639e-05,1.06621e-05,-0.0547937
2,0,3.48567,0.0492498,0.963595,3.8324,0.142693,-0.710798,4.02324,0.000763148,0.487663,0.033626,-0.0648352,3.2496,-0.569482,1.64226,-3.15441e-06,-2.37171e-05,1.06405e-05,-0.00358537
3,0,2.93377,1.7926,-0.0804482,2.45364,0.0581765,1.56058,-1.71538,0.000831501,-0.360909,0.0335871,-0.13199,2.83814,0.300662,0.986668,-2.6631e-06,-2.52801e-06,1.72474e-05,-0.049087
4,0,4.08196,1.68465,0.115588,2.44123,0.304983,2.14992,3.51472,0.000802579,0.0627117,0.0336973,-0.122709,2.66477,0.630869,0.514581,-4.05762e-07,-1.38326e-06,-6.58282e-06,-0.0376297
5,0,1.41451,-1.49479,0.112028,0.943699,0.534862,1.46624,2.44576,0.000676875,0.370697,0.0335981,0.136371,-3.31142,0.337998,-0.951541,1.39899e-06,3.54514e-05,-2.25161e-06,-0.00334397
6,0,2.54132,-0.987901,0.382172,0.443527,0.670576,0.530812,2.52012,0.00073034,0.648227,0.0337041,0.0105109,-2.60154,0.337787,0.0540556,3.83524e-07,-6.45729e-05,1.21592e-06,-0.0386406
7,0,3.48567,0.0551218,0.963555,3.83218,0.14294,-0.710621,4.02175,0.00102198,0.487212,0.0337446,-0.0736447,4.02969,-0.452601,1.5538,2.37967e-06,4.54905e-05,-1.02464e-06,-0.0168065
8,0,2.93377,1.78893,-0.0804079,2.45364,0.0584012,1.56056,-1.71644,0.000945108,-0.360304,0.0334944,-0.124263,1.05747,0.0686614,1.00667,-2.63446e-06,-6.32706e-05,-6.91356e-06,-0.0350909
9,0,4.08196,1.68779,0.115521,2.44078,0.304883,2.14991,3.51486,0.000787305,0.0628478,0.0334206,-0.123419,3.11095,0.655584,0.438906,3.88521e-06,-8.31224e-06,8.22936e-06,-0.0576333
10,0,1.41422,-1.49479,0.111869,0.943073,0.535285,1.46829,2.44322,0.000745411,0.371184,0.0333047,0.148885,2.23862,0.318699,-1.01708,1.62844e-06,-1.87635e-05,-3.45886e-07,0.00323737
1,1,-7.99516,0.281805,-0.587311,-1.78703,0.297296,2.89123,3.63113,-0.105805,-0.193001,0.0699358,-0.0720497,0.580343,-0.0201923,0.275794,-8.69288e-07,8.34657e-06,3.32255e-06,-0.0521549
2,1,-2.75835,0.362616,0.00021411,2.89767,-0.0450011,1.12806,-1.66627,-0.105864,-0.46697,0.0702019,-0.0704245,-0.831648,0.491313,-0.0845989,-5.22041e-07,1.96789e-05,-6.04587e-08,0.0125664
3,1,-0.278524,1.42526,-1.15226,-1.35571,-0.711269,1.95236,4.74751,-0.105896,-0.669381,0.0699268,-0.0980146,-1.95972,0.774621,-1.27283,-4.48754e-06,6.41468e-05,-3.10313e-06,-0.00558628
4,1,2.52896,2.73247,-0.667728,-0.0920445,-0.633525,-0.0735872,-5.35414,-0.105788,-0.704343,0.0698857,-0.118789,3.90159,-0.532104,0.44374,5.85684e-06,5.35664e-05,-1.45666e-05,-0.0505892
5,1,-1.68478,0.736516,-0.325206,2.25499,-0.530049,-1.07461,1.93739,-0.105861,-0.484028,0.0698881,-0.0850534,2.03674,0.919378,-0.716237,-1.14328e-06,-4.50358e-06,8.13983e-06,-0.00711327
6,1,-7.3911,0.121815,-0.587067,-1.73618,0.297515,2.89131,3.6332,-0.105889,-0.192624,0.0699592,-0.0837843,2.24398,-0.165985,0.512807,-3.27506e-07,3.2808e-05,-1.09731e-05,-0.0364141
7,1,-3.34434,0.22829,0.000171532,2.89775,-0.0450523,1.12766,-1.65822,-0.105633,-0.466098,0.069857,-0.0785249,-0.606648,0.52693,-0.164448,5.4098e-06,-3.53859e-05,6.43928e-06,0.0401708
8,1,-0.25315,1.42438,-1.15259,-1.38353,-0.711673,1.95256,4.74751,-0.105739,-0.669947,0.0697785,-0.10318,-0.99947,1.02575,-1.28082,1.728e-06,3.95639e-05,6.38601e-06,-0.0198785
9,1,2.53014,2.89152,-0.667893,-0.095342,-0.63387,-0.0683724,-5.01513,-0.10588,-0.704047,0.0703271,-0.112379,3.91097,-0.604327,0.570188,3.61295e-06,4.96677e-05,-1.67771e-05,-0.08656
10,1,-1.4542,1.28081,-0.325024,2.25541,-0.530176,-1.07677,1.94256,-0.10571,-0.483936,0.0699455,-0.10033,-2.24092,1.09242,-0.789947,1.27475e-06,-9.07975e-06,3.15992e-06,0.00918655
1,2,-3.51215,1.59665,0.197866,4.02237,-1.11741,-0.954547,1.49447,0.0966883,-0.842299,-0.109165,-0.0963227,-1.76562,-0.332344,1.18687,-5.80652e-06,-9.72644e-06,1.37191e-05,-0.00694093
2,2,3.9682,-1.86808,1.65417,-0.870026,1.67768,-1.86841,0.321011,0.0936425,1.97834,-0.107771,0.405751,8.12224,-0.753482,0.387518,-3.62155e-06,-1.21689e-05,-2.19948e-05,0.0201004
3,2,-2.149,-1.22226,1.00936,2.64643,0.744049,0.438909,0.193755,0.0938129,0.827323,-0.10794,0.115774,-3.16049,-0.320164,0.481475,1.50639e-06,3.97675e-05,6.80098e-06,0.026186
4,2,2.58818,2.45187,-0.464396,-2.57906,-0.544425,0.450734,4.0407,0.09402,-0.130982,-0.107808,-0.097566,1.50599,0.00467868,0.435911,4.5811e-06,-6.14648e-05,4.98444e-06,-0.0342803
5,2,-2.98417,-0.0489722,-0.820055,0.194676,-1.10303,-4.32674,4.05078,0.0938574,-0.533143,-0.107939,-0.0441276,0.501395,0.0661307,-0.594448,-1.19534e-07,-1.12845e-05,1.0582e-05,-0.0480714
6,2,-6.14809,0.99189,0.199665,4.00807,-1.10398,-0.954207,1.45155,0.0962866,-0.833885,-0.108895,-0.102309,-1.36524,-0.39224,1.30893,4.54753e-07,-5.83008e-05,-1.03036e-05,0.0157029
7,2,3.97723,-1.86297,1.65364,-0.879137,1.67728,-1.86758,0.29409,0.0937268,1.97822,-0.107853,0.411775,8.09985,-0.7228,0.368032,9.19638e-07,2.01718e-05,1.55233e-05,-0.0528137
8,2,-2.73034,-1.18832,1.00931,2.64629,0.744155,0.440036,0.204464,0.0937819,0.827885,-0.108066,0.104597,-5.27661,-0.255113,0.413251,5.08069e-07,8.91825e-06,-2.89614e-06,0.0501681
9,2,2.58818,2.69652,-0.464219,-2.69599,-0.544674,0.451515,4.04236,0.0939245,-0.131098,-0.10795,-0.108624,-1.23256,0.0141894,0.809663,4.69203e-06,-9.54832e-05,-4.65711e-06,-0.0169548
10,2,-2.87441,0.0414937,-0.819961,0.196323,-1.10243,-4.29121,4.05058,0.0939521,-0.532852,-0.108161,-0.0557887,-2.15494,0.395446,-0.792812,-7.02327e-06,-2.74035e-05,-1.09842e-05,-0.0345298
1,3,0.44893,-1.12728,-0.3352,-0.597897,-0.124291,0.247865,3.89904,-0.0382806,-0.0342498,0.0707288,0.0253872,-1.85491,0.113312,-1.19611,7.64226e-06,-2.46824e-05,7.308e-06,0.0335487
2,3,2.52386,1.14997,-0.541555,-0.748417,-0.183002,1.67373,-9.66165,-0.038421,-0.505219,0.0708942,-0.137343,0.798115,0.38454,-0.528819,-2.02923e-06,2.92529e-05,2.02136e-07,-0.0580295
3,3,-1.09801,-0.266478,0.235532,-5.58856,0.457724,-0.158196,2.61262,-0.0381453,0.448592,0.0706282,-0.0930731,-1.84058,0.779964,-0.507606,1.05246e-07,-2.85936e-05,1.09586e-05,-0.0347723
4,3,4.03968,-2.10477,0.963678,-0.310363,1.26846,-1.56608,3.07495,-0.0382111,1.35095,0.0707452,0.353443,-0.277302,0.459807,-1.06478,2.02882e-06,3.4926e-05,6.49109e-06,0.154793
5,3,-1.53591,-2.06756,0.780891,-2.1679,1.02582,-0.0474182,-7.55647,-0.03835,0.936419,0.07072,0.408235,7.31813,-0.525345,-0.644191,-1.7943e-06,-3.98297e-05,5.76814e-07,0.0735656
6,3,0.439733,-1.12924,-0.334873,-0.572224,-0.123975,0.252139,3.90072,-0.0381986,-0.0346054,0.0708526,0.0149728,-0.439324,0.136716,-1.14812,-3.5293e-07,4.01684e-05,6.95178e-06,0.0354522
7,3,2.52386,1.16185,-0.541405,-0.735334,-0.183041,1.67376,-9.71203,-0.0382035,-0.50545,0.0707282,-0.136037,1.44109,0.344885,-0.524416,1.66623e-06,5.0904e-05,-5.11119e-06,-0.052964
8,3,-1.30407,0.00891856,0.236543,-5.71223,0.458247,-0.161148,2.60715,-0.038474,0.448665,0.0708003,-0.100139,-2.5208,0.886653,-0.633355,-1.47905e-06,-2.32189e-05,-6.81709e-06,-0.0274614
9,3,4.03968,-2.10477,0.96414,-0.305997,1.26867,-1.57018,3.07191,-0.0381417,1.35144,0.0705517,0.345252,-3.24796,0.509772,-1.08894,1.10716e-06,4.39408e-05,4.77138e-06,0.153615
10,3,-1.12386,-1.99604,0.780728,-2.10167,1.02572,-0.0471458,-6.7673,-0.0383723,0.936416,0.0707955,0.398957,7.35485,-0.529814,-0.649195,1.90447e-06,-1.60442e-05,7.83593e-06,0.0412325
1,4,1.92842,-0.788756,-0.696266,0.545517,-0.602628,-1.17366,1.16694,-0.0219347,-0.530792,-0.13383,-0.0128685,1.35684,-0.640366,-0.291511,4.40672e-06,-5.05339e-05,-7.06845e-06,-0.00820323
2,4,0.442542,-1.34286,-0.327683,1.81332,-0.262395,-0.137917,2.9095,-0.0220097,-0.154944,-0.133671,0.141047,1.21105,-0.445807,-1.03261,-3.65732e-06,-5.66962e-05,-4.48561e-07,0.17463
3,4,2.86425,4.75472,0.726054,1.05069,0.834645,-1.2894,1.40395,-0.0219479,0.915418,-0.133673,-0.112363,0.266609,0.510145,0.607522,-4.22464e-06,3.66989e-05,9.9609e-06,-0.0205123
4,4,-0.636261,-1.37987,0.513778,0.43987,0.671097,-1.97122,-2.34753,-0.0220695,0.720839,-0.133777,0.0840985,-2.21352,-0.130554,0.242608,-2.41019e-07,-3.04208e-05,1.57881e-05,-0.0607206
5,4,3.91688,1.86092,-0.372847,1.36014,-0.103062,2.2698,-3.54069,-0.0219655,-0.518085,-0.133987,-0.116464,-1.11112,0.0858212,-0.0462586,-1.04022e-06,-9.46249e-06,-3.86661e-06,-0.00204649
6,4,-2.21146,-0.742534,-0.695811,0.547707,-0.602189,-1.16281,1.14919,-0.0219549,-0.531139,-0.13384,-0.0111463,1.58047,-0.724958,-0.358535,2.0909e-06,4.10977e-05,4.49056e-06,0.0326704
7,4,0.466634,-1.33755,-0.327589,1.81327,-0.262728,-0.140666,2.90939,-0.0221535,-0.154913,-0.133697,0.146355,-3.00567,-0.443676,-0.998736,-5.59063e-06,-5.49987e-05,1.86064e-06,0.13602
8,4,2.86023,3.68927,0.725486,1.05126,0.834738,-1.28449,1.38563,-0.0218226,0.91478,-0.13376,-0.111703,2.12885,0.466617,0.453625,-1.64556e-06,4.78744e-06,-1.17577e-06,0.0179299
9,4,-0.408406,-1.33348,0.513887,0.440585,0.671092,-1.97912,-2.45261,-0.0219408,0.719896,-0.133743,0.0743052,-5.66776,-0.187208,0.265399,6.86965e-10,-6.19078e-05,-5.44814e-06,-0.0246508
10,4,3.91688,1.86502,-0.37293,1.35887,-0.103204,2.27034,-3.50054,-0.0219387,-0.517998,-0.133803,-0.127696,-1.62941,0.214917,-0.0731766,3.45608e-06,-9.24398e-05,-1.64816e-07,0.0088383
1,5,-1.19357,1.0571,0.215722,0.355429,0.219318,-2.80628,-3.08531,-0.0249951,0.276091,0.0942671,-0.13249,-2.65116,-0.0397304,-0.0351198,-4.3734e-06,-5.03806e-05,5.55153e-06,0.0241395
2,5,1.35512,-0.773298,-0.575227,-3.45488,-0.360908,0.822272,-0.503858,-0.0252576,-0.427842,0.0942789,-0.0444899,-1.04988,-1.61214,0.462262,-4.64841e-08,4.61309e-05,1.37842e-06,-0.0121867
3,5,2.43712,1.36276,-0.481649,0.400156,-0.482403,-0.122611,-0.220778,-0.0250025,-0.48103,0.0944504,-0.142368,2.27661,-1.10194,0.40364,-4.96371e-06,-6.77378e-06,-3.37061e-06,-0.0198357
4,5,0.173344,0.72114,-0.00661775,-0.469759,0.0935418,-0.551231,1.97058,-0.0250018,0.1657,0.0945206,-0.135197,1.05735,-0.314291,0.0245542,5.42359e-06,-1.20829e-05,7.81797e-06,0.018037
5,5,0.691824,-1.26994,-0.0963339,-1.13824,0.0556425,-0.0223994,-6.46403,-0.0250761,0.0463402,0.0944412,0.0170577,-1.76055,-0.191523,-0.582916,1.38999e-06,-1.63088e-05,-1.66352e-08,-0.0426153
6,5,-1.84285,1.09849,0.216096,0.356646,0.220005,-2.79478,-3.20655,-0.0251421,0.275556,0.0944113,-0.107501,-2.31917,-0.224227,-0.085967,2.58356e-07,5.14236e-05,-7.34412e-06,0.0438524
7,5,-0.403048,-0.785939,-0.575384,-3.26809,-0.360993,0.824146,-0.310588,-0.0250481,-0.427496,0.0943976,-0.0351449,-0.558318,-1.59288,0.50441,1.08972e-06,5.56541e-05,-6.56158e-06,-0.0631752
8,5,2.43712,1.33633,-0.481502,0.397921,-0.482048,-0.122156,-0.229303,-0.0251498,-0.480465,0.0943946,-0.143344,0.0825986,-1.1441,0.543009,2.67172e-06,-2.62677e-05,2.50878e-06,-0.00835391
9,5,0.147604,1.05944,-0.00621003,-0.467038,0.0939848,-0.545964,1.94901,-0.0250746,0.165169,0.0944478,-0.123716,1.79394,-0.351477,-0.0642932,-1.82537e-06,1.48772e-05,-5.9511e-07,0.0320716
10,5,0.796715,-1.30363,-0.0963953,-1.06796,0.0565432,-0.0133104,-6.35468,-0.0248739,0.0462374,0.0943836,0.00859623,0.327458,-0.106625,-0.621786,-2.97039e-06,4.31569e-05,7.52524e-06,-0.0301748
1,6,1.23638,0.328002,0.0906025,-2.73094,0.179237,-1.35188,1.239,0.0952619,0.249891,-0.0843882,-0.0555058,0.0162912,0.669254,-0.0217972,1.28715e-06,1.42105e-05,9.1475e-06,-0.0188268
2,6,-1.60584,-0.040834,-0.354741,-4.88008,0.403404,2.7111,-0.391599,0.0950072,-0.123282,-0.0845573,-0.0350463,0.229349,0.000318706,0.740447,3.67592e-08,2.21657e-05,-1.18363e-05,-0.103846
3,6,-2.42975,-0.962091,-0.0914767,1.3714,0.00060489,0.502889,1.19722,0.095247,-0.050429,-0.0844624,0.0779697,0.394155,-0.416223,-0.270527,2.12672e-06,-2.57526e-06,1.35638e-06,0.0359011
4,6,2.19301,2.54622,0.326161,3.97564,-0.784545,-0.829752,-0.0860837,0.0953372,-0.901942,-0.0844002,-0.0903689,3.98662,0.32156,0.308242,2.49487e-06,-3.20013e-06,1.55883e-05,-0.0284428
5,6,-4.56239,0.294486,-0.908605,-0.686789,-0.871261,-0.0805911,4.81712,0.0952084,-0.474384,-0.0845617,-0.0635859,-2.07466,-0.231405,0.561168,-2.31497e-06,-0.00013002,1.19729e-05,-0.0673381
6,6,1.29355,0.366484,0.0908935,-2.77964,0.178882,-1.36885,1.22834,0.0953826,0.249713,-0.0844925,-0.0627426,0.0234419,0.692009,0.313536,2.808e-06,-1.89532e-05,-2.913e-06,-0.0358291
7,6,-1.06722,-0.547078,-0.355163,-5.26425,0.403075,2.71083,-0.438778,0.0949392,-0.123679,-0.084551,-0.0112595,2.03812,0.0081116,0.59927,1.71888e-06,-7.7329e-05,6.86432e-06,-0.116269
8,6,-1.99381,-0.988097,-0.0920269,1.37066,-0.000170102,0.501322,1.17939,0.0950653,-0.051641,-0.084332,0.0746034,3.07128,-0.329152,-0.260962,-1.11227e-06,-1.31859e-05,-8.26994e-06,-0.0231028
9,6,2.19338,2.42905,0.325723,3.97564,-0.784346,-0.827196,-0.086054,0.0951696,-0.901848,-0.0845149,-0.0921245,3.95174,0.48416,0.237527,7.27216e-07,3.20612e-05,1.41547e-05,-0.0382808
10,6,-3.1186,0.370078,-0.908068,-0.653887,-0.871396,-0.0765633,4.81783,0.0951989,-0.474176,-0.0845252,-0.0503274,-3.93362,-0.541897,0.57982,6.10542e-07,-8.42991e-08,5.58435e-06,-0.075864
1,7,-3.84761,-0.34488,0.915268,-0.650111,0.980043,-1.11578,-1.66769,0.135092,1.11224,0.0887782,-0.199301,-2.25289,-0.0351058,1.37333,-5.86325e-06,3.3902e-05,-3.20852e-06,-0.0501261
2,7,0.600817,-2.07054,1.46128,4.73994,-0.0254141,-0.199077,-2.31935,0.135493,-0.370542,0.0889082,0.149436,2.14605,-0.900919,0.900512,-4.96051e-08,-1.95133e-05,1.0142e-05,0.125894
3,7,0.388108,-0.882633,-0.173111,-1.05625,-0.178409,-1.91734,-6.26916,0.135515,-0.0369543,0.0888788,-0.129704,1.1265,-0.499891,-0.0181159,-1.911e-06,-2.13175e-05,7.96557e-07,-0.0217198
4,7,1.57078,-1.08733,0.14555,-1.65838,0.202719,-1.00494,-3.53139,0.135306,0.332847,0.0887825,-0.085595,4.58565,0.0829122,-0.767139,-1.86014e-06,1.45685e-05,5.50101e-06,0.00187292
5,7,0.0440473,-1.37039,-0.621208,-1.78704,-0.435971,1.05579,2.05883,0.135435,-0.407854,0.0885473,-0.092311,1.7705,-0.276108,-0.674916,-4.17374e-06,4.20578e-05,-9.72481e-06,-0.0610699
6,7,-2.68166,-0.214895,0.915594,-0.680056,0.980632,-1.13911,-1.72344,0.13551,1.11308,0.0889024,-0.193523,2.53434,-0.109474,1.2158,1.11667e-08,2.54456e-05,-3.01565e-06,-0.0478296
7,7,0.634556,-2.01148,1.46147,4.73992,-0.0247585,-0.196083,-2.31966,0.135524,-0.370006,0.0886663,0.144414,-1.54508,-0.89343,0.903452,-2.60153e-06,5.03634e-05,-8.24857e-06,0.114072
8,7,0.926627,-0.941693,-0.173685,-1.022,-0.179235,-1.95695,-6.14183,0.135361,-0.037202,0.0887247,-0.134978,-3.85855,-0.440395,0.0239003,4.43554e-06,-6.05783e-05,6.00224e-07,-0.0232686
9,7,1.59812,-1.088,0.145674,-1.57952,0.202677,-1.00599,-3.55439,0.135498,0.332705,0.0885309,-0.0920828,4.70499,0.101402,-0.758643,-8.813e-07,-7.14418e-07,3.40746e-06,0.00860778
10,7,0.09664,-1.35101,-0.621128,-1.88604,-0.435266,1.05697,2.16242,0.135362,-0.403279,0.088683,-0.10406,-3.08966,-0.0766636,-0.662565,-3.77874e-06,5.58172e-05,2.40927e-06,-0.0786953
1,8,-1.34288,-1.31304,-0.266125,3.04389,-1.05991,-1.90073,-3.50631,-0.00742892,-1.17371,-0.111328,0.120341,3.50761,-0.220221,-1.23405,-4.85397e-06,-3.16572e-05,2.27079e-06,0.0834235
2,8,-2.15066,-1.41823,-0.161082,-1.15368,0.0630988,1.32057,-0.864775,-0.0073786,-0.0434023,-0.110514,0.17205,-2.16072,-0.67338,-0.652533,4.91017e-06,1.53867e-05,-1.45296e-05,0.0610587
3,8,-0.866429,0.0529021,-0.64212,-4.56684,-0.602047,0.362173,-5.05934,-0.00757433,-0.588741,-0.110318,-0.0658977,2.50112,-0.0739048,-0.429828,6.81407e-07,4.07139e-07,1.43319e-06,-0.0467298
