parameter,value,CV
rP_pop,0.00693165245391976,
nC_pop,3512.11698672492,
e_pop,26.466679281125,
KP_pop,17.5744190742825,
rTA_pop,1.58337192061719,
Kr_pop,60.4517319919021,
KA_pop,3.86019395042174,
lTA_pop,0.11722748770932,
kA_pop,0.483126663324959,
lTN_pop,0.0978124475282977,
rN_pop,0.104872569779459,
km_pop,1.83677302087344e-05,
kb_pop,11.0294760301562,
KN_pop,15768.9312600995,
nP0_pop,2200.23994902033,
nTA0_pop,50.000758678234,
nTN0_pop,16.4999926652127,
nN0_pop,19.6712238273588,
omega_rP,2.65832562507247,3422.3784603657
omega_nC,1.44155723078086,264.370440794943
omega_e,0.618518694554545,68.2671747173698
omega_KP,2.30388137299589,1417.46095563955
omega_rTA,0.640549131258547,71.2232199350396
omega_Kr,1.47121089266769,277.667252049378
omega_KA,3.4091170305584,33396.4593889072
omega_lTA,0.0815023398431617,8.16378748352875
omega_kA,0.650436472797358,72.5697940625123
omega_lTN,0.0911930052797505,9.13829281696922
omega_rN,0.158575803340164,15.9577943755315
omega_km,3.00893625329248,9246.13025217656
omega_kb,0.674249186008606,75.8657953876706
omega_KN,0.750758850340007,87.0088812662083
omega_nP0,3.20521611009998e-06,0.000320520478847552
omega_nTA0,4.43055858792305e-05,0.00443055852658616
omega_nTN0,8.15751526988342e-06,0.000815751136923464
omega_nN0,0.082684077068337,8.28255992187276
a0,0.0317383813146191,
a1,0.010789331401599,
a2,0.000568638940661745,
a3,1.75506838742474,
