rep,id,eta_r,eta_K,eta_p,eta_T50,eta_h,eta_l,eta_delta_ef,eta_delta_m,eta_kappa,eta_Cef50,eta_q,eta_T0,eta_Cef0,eta_Cm0
1,CR,-1.25332,-3.18272,-0.270004,0.634461,-0.173926,-1.49817,-0.329399,-0.0282587,-0.132166,0.923212,2.3308,-0.699543,0.228788,-1.96119
2,CR,-1.48091,4.79763,0.00474786,-0.229133,-0.212279,-2.01713,0.0155247,0.113417,0.0413674,2.04519,-6.59074,1.75756,-0.619439,1.98608
3,CR,-0.557344,-8.61487,-0.161956,2.00983,-0.110379,-2.55695,-0.136295,-0.0863291,-0.0112142,-0.208759,-8.95022,0.685173,0.271042,2.20761
4,CR,0.185075,-11.2718,0.120425,2.41277,-0.0205984,-2.1869,0.132268,0.0182258,0.0414911,-1.00595,4.14363,1.09289,-0.42542,0.652661
5,CR,0.351722,-4.28667,0.350878,-0.811181,0.127063,-2.70276,0.548009,-0.198842,0.0396156,-1.03266,-2.75979,0.23801,0.36502,-0.38503
6,CR,-0.202097,6.15238,0.335667,-2.44653,-0.368671,-0.912859,0.396174,0.057264,0.0825667,0.908442,1.38724,1.21837,0.0175742,1.93842
7,CR,-1.95868,-4.69724,-0.266446,1.31967,0.0191836,-1.47317,-0.341476,0.0967021,-0.0736448,1.01116,0.716415,-0.12258,0.131389,-0.724839
8,CR,-0.837922,0.128623,0.0987048,-0.873205,-0.080184,-2.78583,0.19582,0.0939552,-0.0339344,1.19748,17.8677,0.400325,0.242063,0.992876
9,CR,-0.366925,10.4832,0.429182,-0.119103,0.267994,-1.41823,0.586319,0.0363583,0.0448146,-0.691504,4.19053,0.827451,-0.29768,-1.16913
10,CR,0.168121,-1.64259,0.0841448,1.57598,0.111141,-1.67718,0.167311,0.0716306,0.0547142,-1.21846,10.1605,0.800505,0.394878,0.480771
1,NR,-0.186407,6.06407,-0.548159,-0.428602,-0.117675,1.7955,0.167826,0.301362,0.0124654,-0.522184,12.498,-1.15744,0.687855,-2.45174
2,NR,-1.21337,-7.88871,0.0686779,1.98974,-0.186313,8.39449,-0.683097,0.220734,-0.121606,0.00358843,16.6892,-2.65202,0.531139,0.769136
3,NR,2.71999,-10.7256,-0.0886141,-0.33121,-0.265042,-5.31685,0.272366,-0.211858,-0.0113569,-1.26881,-1.0057,-2.17979,1.25351,-3.25738
4,NR,-0.685621,6.6818,0.176214,-2.17822,0.111301,5.70694,-0.273285,0.238176,0.00446845,-1.75742,-5.36099,-2.79627,0.274409,-1.59989
5,NR,-1.36907,8.62226,-0.601688,-0.369148,0.104766,6.18541,0.133642,0.208086,-0.0374225,-1.91465,-0.17048,-2.15192,0.33154,-1.0389
6,NR,-0.258094,10.9436,-0.664054,1.51507,-0.0238034,1.54388,0.732552,0.258348,0.116525,0.506048,-5.63727,-1.86556,-0.301731,4.53799
7,NR,-1.38212,2.63922,-0.286114,1.57851,-0.210205,1.96837,0.0866519,0.2039,-0.0603706,0.524641,3.37028,-1.1878,0.614409,0.73442
8,NR,-2.00893,-1.87331,-0.406866,-0.842768,-0.179991,5.31896,0.0372819,0.279983,-0.0379486,-0.8707,-8.36129,-1.88571,0.753639,1.33765
9,NR,-0.527731,2.0192,0.232372,0.40677,0.0903924,5.64142,-0.730062,0.295633,0.107854,-2.54663,-5.04453,-2.63437,-0.248575,4.66374
10,NR,-0.920715,-7.2161,-1.10893,0.853189,0.0403145,3.65659,0.305081,0.223199,-0.00287572,2.05644,3.07012,-2.88124,0.48481,0.124629
1,CD19+ relapse,1.13323,3.14688,0.530648,-0.613703,-0.0774422,-2.2834,0.782616,-0.243025,-0.00041617,-1.21418,-2.45011,2.42674,0.00975816,-1.87778
2,CD19+ relapse,0.743141,-4.09149,-0.862289,-0.280512,-0.328879,-4.64144,-0.860354,-0.536002,-0.111666,5.71223,23.6467,0.393044,-0.891884,1.72818
3,CD19+ relapse,1.19467,-4.60189,-0.457666,-1.05844,0.06841,-0.526505,-0.477088,-0.327736,0.042403,-1.62927,-21.8187,2.37146,-0.380688,2.73009
4,CD19+ relapse,1.29931,4.9998,-0.0967679,0.678123,-0.0570263,-0.987712,-0.0079269,-0.248177,0.0619187,-1.83535,14.7736,2.12238,-0.469762,1.22159
5,CD19+ relapse,1.41106,-2.21445,0.597648,0.713554,0.219797,1.30216,-0.170337,-0.317857,0.12398,-2.88815,9.99921,1.52568,-0.635933,1.09585
6,CD19+ relapse,1.45442,1.41427,-0.0227933,0.800891,0.237153,-0.99572,0.147433,-0.283513,0.127901,-2.44854,-13.4713,2.5096,-0.261845,-0.493839
7,CD19+ relapse,1.13703,0.841917,-0.00740606,0.0458142,-0.229637,-2.18929,0.145493,-0.315017,-0.0499921,-1.09972,-0.37667,1.2175,-0.390476,2.21402
8,CD19+ relapse,1.48213,1.06956,-0.108177,1.09111,-0.0515279,-2.79968,0.0826587,-0.329074,0.0356738,-2.49155,-2.02601,1.43349,-0.106146,-3.28539
9,CD19+ relapse,1.17736,-8.91115,-0.326812,-1.13394,0.0107535,-0.763524,-0.227109,-0.34886,0.0181342,-1.53531,-8.76736,2.19812,-0.258398,2.61015
10,CD19+ relapse,0.781778,-5.39248,-1.13659,2.36674,0.0190092,-2.89845,-1.0399,-0.339963,-0.111899,1.95816,1.69825,2.13924,0.0405396,1.28887
