parameter,value,CV
r_pop,0.0953323364058081,
K_pop,1.27602314266067e+18,
p_pop,2.95765929230822,
T50_pop,2617734.21562589,
h_pop,0.264359803278852,
l_pop,1.13953264154356,
delta_ef_pop,2.0819112085353,
delta_m_pop,0.0919203086647563,
kappa_pop,1.35762410979653,
Cef50_pop,10789945.0675358,
q_pop,9.35798235279713e-12,
T0_pop,11808334288448.9,
Cef0_pop,22092098384.1806,
Cm0_pop,242032301.455381,
omega_r,1.0602243008328,144.130868097816
omega_K,6.01984029767153,7397506276.66663
omega_p,0.46683010576843,49.3457649526376
omega_T50,1.31402764342459,214.985910421323
omega_h,0.154198326463603,15.5119481308381
omega_l,2.90526118771529,6804.45954921668
omega_delta_ef,0.495517828037365,52.754976396448
omega_delta_m,0.269087744535562,27.4033069630094
omega_kappa,0.0771752432663247,7.7290300271566
omega_Cef50,1.61800178643974,356.473239417682
omega_q,8.96266579750089,2.77525467551418e+19
omega_T0,1.81201041561529,506.614225573101
omega_Cef0,0.494919912132493,52.6832008393396
omega_Cm0,2.03231603063284,782.285782637576
a0,0.234493447912423,
b0,2.22044604925031e-16,
a1,2.22044604925031e-16,
b1,0.0405766411993495,
