id,a_SAEM,b_SAEM,dE_SAEM,dC_SAEM,g_SAEM,jE_SAEM,jC_SAEM,K_SAEM,k_SAEM,l_SAEM,mE_SAEM,mC_SAEM,qE_SAEM,qC_SAEM,s_SAEM,KT_SAEM,KE_SAEM,KC_SAEM,gamma_SAEM,T0_SAEM,E0_SAEM,C0_SAEM,M0_SAEM,a_mean,b_mean,dE_mean,dC_mean,g_mean,jE_mean,jC_mean,K_mean,k_mean,l_mean,mE_mean,mC_mean,qE_mean,qC_mean,s_mean,KT_mean,KE_mean,KC_mean,gamma_mean,T0_mean,E0_mean,C0_mean,M0_mean,a_mode,b_mode,dE_mode,dC_mode,g_mode,jE_mode,jC_mode,K_mode,k_mode,l_mode,mE_mode,mC_mode,qE_mode,qC_mode,s_mode,KT_mode,KE_mode,KC_mode,gamma_mode,T0_mode,E0_mode,C0_mode,M0_mode,a_sd,b_sd,dE_sd,dC_sd,g_sd,jE_sd,jC_sd,K_sd,k_sd,l_sd,mE_sd,mC_sd,qE_sd,qC_sd,s_sd,KT_sd,KE_sd,KC_sd,gamma_sd,T0_sd,E0_sd,C0_sd,M0_sd
0,0.33,2.26e-11,3.17,2.36436,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.36632,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.36068,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0607849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.33,2.26e-11,3.17,2.21265,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.22229,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.21342,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0504335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.33,2.26e-11,3.17,2.4017,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.40852,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.39985,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0643948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.33,2.26e-11,3.17,2.13107,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.12474,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.12376,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0424648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.33,2.26e-11,3.17,2.11089,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.11985,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.10894,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0417196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.33,2.26e-11,3.17,2.10787,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.10348,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.09953,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0354857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.33,2.26e-11,3.17,2.2819,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.27586,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.28033,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0564238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.33,2.26e-11,3.17,2.15127,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.15541,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.14754,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0448875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.33,2.26e-11,3.17,2.23829,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.24201,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.23594,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0537559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.33,2.26e-11,3.17,2.17143,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.17178,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0.33,2.26e-11,3.17,2.17056,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6,0,0,0,0.0494015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
