rep,id,a,b,dE,dC,g,jE,jC,K,k,l,mE,mC,qE,qC,s,KT,KE,KC,gamma,T0,E0,C0,M0
1,0,0.33,2.26e-11,3.17,2.35595,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
2,0,0.33,2.26e-11,3.17,2.3863,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
3,0,0.33,2.26e-11,3.17,2.36452,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
4,0,0.33,2.26e-11,3.17,2.48671,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
5,0,0.33,2.26e-11,3.17,2.32597,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
6,0,0.33,2.26e-11,3.17,2.32062,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
7,0,0.33,2.26e-11,3.17,2.28816,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
8,0,0.33,2.26e-11,3.17,2.30768,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
9,0,0.33,2.26e-11,3.17,2.5035,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
10,0,0.33,2.26e-11,3.17,2.4869,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
1,1,0.33,2.26e-11,3.17,2.20424,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
2,1,0.33,2.26e-11,3.17,2.14783,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
3,1,0.33,2.26e-11,3.17,2.16078,10300,0.0156,0.346,5.21e+08,8.67e+06,1.418,0.0176,0.293,1.28e-10,2.14e-10,0.302,0.7,0.6,0.6,0.9,1.58e+09,400000,6.3e+07,6
