parameter,value,CV
a_pop,0.33,
b_pop,2.26e-11,
dE_pop,3.17,
dC_pop,2.21463604088244,
g_pop,10300,
jE_pop,0.0156,
jC_pop,0.346,
K_pop,520999999.999999,
k_pop,8670000,
l_pop,1.418,
mE_pop,0.0176,
mC_pop,0.293,
qE_pop,1.28e-10,
qC_pop,2.14e-10,
s_pop,0.302,
KT_pop,0.7,
KE_pop,0.6,
KC_pop,0.6,
gamma_pop,0.9,
T0_pop,1580000000,
E0_pop,400000,
C0_pop,63000000,
M0_pop,6,
omega_dC,0.0494358732654362,4.94660928008803
b0,0.00934901240770911,
b1,0.082687267455319,
b2,0.0554234411520027,
b3,0.952824884344967,
