param='a',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=9,noise_seed=2097,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.018612260665902117,param_relative_err_CR=0.01871020508921975,param_relative_err_NR=0.01851431624258449,rms_log_T=0.010700176536906355,rms_log_E=0.0004423339399055529,rms_log_C=0.010329216757139523,rms_log_M=1.8410225513965914e-08,rms_T=16188540.844721055,rms_E=45.366552999955076,rms_C=153886.44282923988,rms_M=5.428324887717223e-10,rms_log_CR_T=0.02075413366202026,rms_log_CR_E=0.0001729663057751251,rms_log_CR_C=0.004564700490040324,rms_log_CR_M=1.7502404797203412e-08,rms_CR_T=532425.7756715692,rms_CR_E=57.885191266663,rms_CR_C=267029.41460216546,rms_CR_M=5.894692804677781e-10,rms_log_NR_T=0.0006462194117924581,rms_log_NR_E=0.0007117015740359808,rms_log_NR_C=0.016093733024238725,rms_log_NR_M=1.9318046230728416e-08,rms_NR_T=31844655.913770538,rms_NR_E=32.84791473324715,rms_NR_C=40743.47105631426,rms_NR_M=4.961956970756667e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.18856, 0.640322, 0.1125, 2.08324, 0.224698, 0.237655, 0.139013, 0.419253, 0.714065, 0.391094],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=9,noise_seed=2098,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.02337297433010591,param_relative_err_CR=0.02178470262735622,param_relative_err_NR=0.024961246032855596,rms_log_T=0.012458194169257555,rms_log_E=0.0004833593964821945,rms_log_C=0.005966545694399946,rms_log_M=1.6806978266370414e-08,rms_T=17546386.768406034,rms_E=45.59310242869749,rms_C=126981.33624338955,rms_M=4.791401129157542e-10,rms_log_CR_T=0.024109651750726272,rms_log_CR_E=0.0001399367052684705,rms_log_CR_C=0.004007421409875715,rms_log_CR_M=1.232604539476657e-08,rms_CR_T=250297.26456311284,rms_CR_E=45.35820042523629,rms_CR_C=198559.1027040819,rms_CR_M=4.518844537944741e-10,rms_log_NR_T=0.0008067365877888338,rms_log_NR_E=0.0008267820876959184,rms_log_NR_C=0.007925669978924178,rms_log_NR_M=2.1287911137974255e-08,rms_NR_T=34842476.272248946,rms_NR_E=45.828004432158686,rms_NR_C=55403.569782697225,rms_NR_M=5.063957720370341e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.187075, 0.639506, 0.0986681, 2.55991, 0.22584, 0.239034, 0.137847, 0.41905, 0.711828, 0.391315],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=9,noise_seed=2099,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.015048017945766193,param_relative_err_CR=0.011167902401037978,param_relative_err_NR=0.01892813349049441,rms_log_T=0.004123898540191561,rms_log_E=0.0005538039743118759,rms_log_C=0.010411528395858271,rms_log_M=2.2676481289987115e-08,rms_T=20656837.89351777,rms_E=43.3269222862172,rms_C=110894.61915110513,rms_M=6.135823141836719e-10,rms_log_CR_T=0.007307512399872029,rms_log_CR_E=0.00010111064314718412,rms_log_CR_C=0.0026931866958444855,rms_log_CR_M=1.946254825558156e-08,rms_CR_T=289511.7148234686,rms_CR_E=33.752957215982065,rms_CR_C=154959.02914852853,rms_CR_M=6.266473440798041e-10,rms_log_NR_T=0.000940284680511093,rms_log_NR_E=0.0010064973054765675,rms_log_NR_C=0.01812987009587206,rms_log_NR_M=2.589041432439267e-08,rms_NR_T=41024164.07221207,rms_NR_E=52.90088735645234,rms_NR_C=66830.20915368169,rms_NR_M=6.005172842875396e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.188003, 0.640366, 0.109556, 2.08299, 0.225645, 0.241254, 0.138986, 0.419221, 0.711771, 0.391534],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=9,noise_seed=2100,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.021716614016203672,param_relative_err_CR=0.024182368763602493,param_relative_err_NR=0.01925085926880485,rms_log_T=0.007573320255070038,rms_log_E=0.0006127894304761861,rms_log_C=0.013579960866199243,rms_log_M=2.427200272609587e-08,rms_T=21710436.821468055,rms_E=53.41502528218213,rms_C=150767.85173776626,rms_M=6.726831419515791e-10,rms_log_CR_T=0.014191446060878441,rms_log_CR_E=0.00017112230298064148,rms_log_CR_C=0.0048516444801460865,rms_log_CR_M=2.4620263772802053e-08,rms_CR_T=285326.8012821631,rms_CR_E=55.21909731123185,rms_CR_C=240433.38807702746,rms_CR_M=7.888487245521553e-10,rms_log_NR_T=0.0009551944492616361,rms_log_NR_E=0.001054456557971731,rms_log_NR_C=0.022308277252252404,rms_log_NR_M=2.392374167938968e-08,rms_NR_T=43135546.84165396,rms_NR_E=51.6109532531324,rms_NR_C=61102.31539850512,rms_NR_M=5.565175593510029e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.188162, 0.639192, 0.102296, 2.08205, 0.224746, 0.239941, 0.126282, 0.420068, 0.714003, 0.390221],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=9,noise_seed=2101,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.025972155572034018,param_relative_err_CR=0.03678928588387793,param_relative_err_NR=0.015155025260190113,rms_log_T=0.007432040118365348,rms_log_E=0.0004716961120598686,rms_log_C=0.009116061148907409,rms_log_M=2.1736681311105003e-08,rms_T=15136590.071894426,rms_E=55.83504967736167,rms_C=185238.2551586871,rms_M=6.231084050412175e-10,rms_log_CR_T=0.014194642132764185,rms_log_CR_E=0.00023263251364273214,rms_log_CR_C=0.006652743336879358,rms_log_CR_M=2.2844841096447912e-08,rms_CR_T=344267.4380535712,rms_CR_E=74.73477142759509,rms_CR_C=322965.63545745926,rms_CR_M=7.60976138837499e-10,rms_log_NR_T=0.0006694381039665083,rms_log_NR_E=0.0007107597104770051,rms_log_NR_C=0.011579378960935457,rms_log_NR_M=2.062852152576209e-08,rms_NR_T=29928912.705735285,rms_NR_E=36.93532792712825,rms_NR_C=47510.874859915006,rms_NR_M=4.85240671244936e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.185939, 0.640978, 0.122766, 2.122, 0.225933, 0.239486, 0.13917, 0.418963, 0.71268, 0.389838],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=9,noise_seed=5097,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.017353860342579682,param_relative_err_CR=0.009981653671057151,param_relative_err_NR=0.024726067014102217,rms_log_T=0.00683748391833888,rms_log_E=0.0022999628779208957,rms_log_C=0.02669497514418081,rms_log_M=2.8589577718490477e-08,rms_T=79745192.94389442,rms_E=160.7240596605574,rms_C=268574.28488815605,rms_M=8.50764169828028e-10,rms_log_CR_T=0.009185093473307475,rms_log_CR_E=0.00011029830035549166,rms_log_CR_C=0.0028141904163427175,rms_log_CR_M=3.575439144329704e-08,rms_CR_T=412802.4316636108,rms_CR_E=37.49220931462772,rms_CR_C=177049.66718382336,rms_CR_M=1.0013529561513567e-09,rms_log_NR_T=0.004489874363370287,rms_log_NR_E=0.0044896274554863,rms_log_NR_C=0.0505757598720189,rms_log_NR_M=2.142476399368391e-08,rms_NR_T=159077583.4561252,rms_NR_E=283.9559100064871,rms_NR_C=360098.9025924887,rms_NR_M=7.001753835046996e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.188284, 0.650414, 0.104998, 2.07785, 0.227116, 0.241125, 0.136736, 0.41824, 0.715372, 0.385945],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=9,noise_seed=5098,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.02692001644685093,param_relative_err_CR=0.032390796571674194,param_relative_err_NR=0.021449236322027655,rms_log_T=0.012716468063762096,rms_log_E=0.0015085573408174537,rms_log_C=0.01942551293649483,rms_log_M=2.131795219283455e-08,rms_T=47440223.81854907,rms_E=136.93228234376707,rms_C=362357.76094102644,rms_M=6.307163314662867e-10,rms_log_CR_T=0.022824608304996174,rms_log_CR_E=0.0003263143644845682,rms_log_CR_C=0.0085109990999491,rms_log_CR_M=1.566418043479714e-08,rms_CR_T=1083896.7460849031,rms_CR_E=109.86060705209067,rms_CR_C=511327.6110925205,rms_CR_M=4.3809894059648826e-10,rms_log_NR_T=0.0026083278225280176,rms_log_NR_E=0.002690800317150339,rms_log_NR_C=0.030340026773040558,rms_log_NR_M=2.6971723950871956e-08,rms_NR_T=93796550.89101323,rms_NR_E=164.00395763544347,rms_NR_C=213387.9107895324,rms_NR_M=8.233337223360851e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.186491, 0.641396, 0.113729, 2.07811, 0.227627, 0.234915, 0.125925, 0.419316, 0.709227, 0.387409],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=9,noise_seed=5099,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.040842435994388374,param_relative_err_CR=0.05905891787842501,param_relative_err_NR=0.022625954110351742,rms_log_T=0.036669156790809766,rms_log_E=0.0023721032121129357,rms_log_C=0.025620848901329513,rms_log_M=3.4263286554461e-08,rms_T=70956461.78461525,rms_E=205.1719233234274,rms_C=510753.3816932823,rms_M=1.0373169823438153e-09,rms_log_CR_T=0.06923429979874202,rms_log_CR_E=0.00045001970802243817,rms_log_CR_C=0.012205826013261038,rms_log_CR_M=2.725002602740318e-08,rms_CR_T=1122606.5770420895,rms_CR_E=148.28453251097363,rms_CR_C=668235.6607895994,rms_CR_M=8.679298519459855e-10,rms_log_NR_T=0.004104013782877514,rms_log_NR_E=0.004294186716203433,rms_log_NR_C=0.03903587178939798,rms_log_NR_M=4.127654708151883e-08,rms_NR_T=140790316.99218842,rms_NR_E=262.05931413588115,rms_NR_C=353271.10259696515,rms_NR_M=1.2067041127416456e-09,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.191301, 0.639507, 0.133758, 2.07821, 0.227791, 0.236606, 0.134018, 0.420244, 0.71043, 0.385408],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=9,noise_seed=5100,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.0303658140121127,param_relative_err_CR=0.03762964066149774,param_relative_err_NR=0.02310198736272767,rms_log_T=0.012012003687736849,rms_log_E=0.0014299145055297288,rms_log_C=0.025221068200543963,rms_log_M=3.354948249562033e-08,rms_T=51457141.98073669,rms_E=130.25222461369137,rms_C=311631.41375863913,rms_M=8.593367326804436e-10,rms_log_CR_T=0.021375714262114032,rms_log_CR_E=0.0003054981533095035,rms_log_CR_C=0.008500974717939244,rms_log_CR_M=3.278461978986927e-08,rms_CR_T=596744.1401173584,rms_CR_E=99.36387011263913,rms_CR_C=438442.3822614546,rms_CR_M=8.964921448309905e-10,rms_log_NR_T=0.002648293113359664,rms_log_NR_E=0.002554330857749954,rms_log_NR_C=0.041941161683148674,rms_log_NR_M=3.4314345201371396e-08,rms_NR_T=102317539.82135601,rms_NR_E=161.14057911474362,rms_NR_C=184820.44525582367,rms_NR_M=8.221813205298971e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.185759, 0.651274, 0.105906, 2.07978, 0.224798, 0.238494, 0.114299, 0.419381, 0.711349, 0.388818],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=9,noise_seed=5101,exploratory_did_converge=True,smoothing_did_converge=False,param_relative_err=0.02593337121771074,param_relative_err_CR=0.02684704740421846,param_relative_err_NR=0.025019695031203014,rms_log_T=0.014919251566884955,rms_log_E=0.0026210894783576895,rms_log_C=0.030441093551069463,rms_log_M=3.202857799107237e-08,rms_T=81087416.34190837,rms_E=201.33242728215023,rms_C=423216.6408641812,rms_M=7.78422939155992e-10,rms_log_CR_T=0.02514627346651633,rms_log_CR_E=0.0002884237175548645,rms_log_CR_C=0.007473365067489593,rms_log_CR_M=3.7212679065882584e-08,rms_CR_T=987707.9885197438,rms_CR_E=97.68548901503037,rms_CR_C=458161.0479355925,rms_CR_M=9.021973547177445e-10,rms_log_NR_T=0.00469222966725358,rms_log_NR_E=0.004953755239160515,rms_log_NR_C=0.05340882203464934,rms_log_NR_M=2.6844476916262163e-08,rms_NR_T=161187124.69529694,rms_NR_E=304.9793655492701,rms_NR_C=388272.23379276996,rms_NR_M=6.546485235942396e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.186297, 0.640467, 0.104879, 2.07326, 0.224519, 0.244399, 0.124503, 0.421423, 0.721749, 0.395952],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
param='a',noise_level=0.5,n_indivs=10,n_pts=20,param_seed=9,noise_seed=10097,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.09732482477633268,param_relative_err_CR=0.1664129327001344,param_relative_err_NR=0.02823671685253102,rms_log_T=0.09220493473354603,rms_log_E=0.0036522145092871714,rms_log_C=0.05996028693776721,rms_log_M=1.942074088925134e-08,rms_T=90407381.05618772,rms_E=546.7883298835234,rms_C=1980865.2430043146,rms_M=5.263204139421805e-10,rms_log_CR_T=0.1794828175648606,rms_log_CR_E=0.0023314507580395184,rms_log_CR_C=0.05998260172418254,rms_log_CR_M=2.3168525494720238e-08,rms_CR_T=7156136.663000479,rms_CR_E=774.9663780367321,rms_CR_C=3565270.497895334,rms_CR_M=6.874288586414803e-10,rms_log_NR_T=0.004927051902231463,rms_log_NR_E=0.004972978260534825,rms_log_NR_C=0.05993797215135188,rms_log_NR_M=1.567295628378245e-08,rms_NR_T=173658625.44937497,rms_NR_E=318.6102817303146,rms_NR_C=396459.9881132962,rms_NR_M=3.6521196924288077e-10,true_params: [0.18766125904922945, 0.6405398665353211, 0.10745822467360062, 2.2872874448128586, 0.22566009921795877, 0.23980825889235968, 0.13514766635737824, 0.41902017241907474, 0.7132668880584336, 0.3905677126928354],pred_params: [0.187888, 0.645691, 0.125229, 2.04852, 0.229995, 0.117017, 0.153289, 0.418397, 0.704516, 0.396425],outcomes: ['CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'CR', 'NR', 'NR', 'NR']
