param='jC',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=10,noise_seed=2173,exploratory_did_converge=False,smoothing_did_converge=True,param_relative_err=0.006464773393775771,param_relative_err_CR=0.0010267553943155653,param_relative_err_NR=0.011902791393235976,rms_log_T=0.08096811707614046,rms_log_E=0.0008208379907657373,rms_log_C=0.009856237845557943,rms_log_M=1.2857234193207268e-08,rms_T=18680625.197516095,rms_E=62.80887539807791,rms_C=157181.51375857618,rms_M=3.4391451760393966e-10,rms_log_CR_T=0.16052646698357623,rms_log_CR_E=9.4485788406491e-05,rms_log_CR_C=0.0015173271926304456,rms_log_CR_M=2.5254541070440695e-08,rms_CR_T=303279.72516904655,rms_CR_E=36.34998206500647,rms_CR_C=123536.23204871423,rms_CR_M=6.732751888712315e-10,rms_log_NR_T=0.0014097671687046853,rms_log_NR_E=0.0015471901931249836,rms_log_NR_C=0.01819514849848544,rms_log_NR_M=4.5992731597383985e-10,rms_NR_T=37057970.66986315,rms_NR_E=89.26776873114935,rms_NR_C=190826.79546843815,rms_NR_M=1.4553846336647718e-11,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.270596, 0.348885, 0.259253, 0.359522, 0.0540707, 0.544283, 0.443675, 0.152565, 0.440093, 0.298036],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=10,noise_seed=2174,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.2548817148059411,param_relative_err_CR=0.014640850882145267,param_relative_err_NR=0.49512257872973686,rms_log_T=0.08902660198047871,rms_log_E=0.0030825356696689626,rms_log_C=0.11662044829036522,rms_log_M=1.1215887897090635e-08,rms_T=87510428.04729745,rms_E=270.1448413088288,rms_C=1253034.8193112677,rms_M=3.844555580234953e-10,rms_log_CR_T=0.17136822070892654,rms_log_CR_E=0.0006729561315755369,rms_log_CR_C=0.01225164895700243,rms_log_CR_M=2.0888482192997376e-08,rms_CR_T=4555905.855816694,rms_CR_E=234.5055136233529,rms_CR_C=1357471.861228963,rms_CR_M=5.303857228758181e-10,rms_log_NR_T=0.006684983252030856,rms_log_NR_E=0.005492115207762387,rms_log_NR_C=0.22098924762372799,rms_log_NR_M=1.543293601183896e-09,rms_NR_T=170464950.2387782,rms_NR_E=305.7841689943047,rms_NR_C=1148597.777393572,rms_NR_M=2.385253931711726e-10,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.267616, 0.346897, 0.264194, 0.357086, 0.188723, 0.545815, 0.432801, 0.156439, 0.455353, 0.298146],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=10,noise_seed=2175,exploratory_did_converge=False,smoothing_did_converge=False,param_relative_err=0.026587181988063757,param_relative_err_CR=0.0025934760220476085,param_relative_err_NR=0.05058088795407991,rms_log_T=0.1521091230100676,rms_log_E=0.001804752015332977,rms_log_C=0.032867378716175025,rms_log_M=1.0767533379361593e-08,rms_T=44369740.48100468,rms_E=139.32308935658702,rms_C=402641.9986785401,rms_M=3.6632489383140687e-10,rms_log_CR_T=0.30084096189502657,rms_log_CR_E=0.0002000119762291475,rms_log_CR_C=0.003271121367745425,rms_log_CR_M=2.0395726463331166e-08,rms_CR_T=808966.7313665566,rms_CR_E=75.03377347544017,rms_CR_C=294518.2043812214,rms_CR_M=5.426693481519922e-10,rms_log_NR_T=0.0033772841251086677,rms_log_NR_E=0.0034094920544368067,rms_log_NR_C=0.06246363606460463,rms_log_NR_M=1.1393402953920171e-09,rms_NR_T=87930514.23064281,rms_NR_E=203.61240523773387,rms_NR_C=510765.7929758588,rms_NR_M=1.899804395108214e-10,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.268505, 0.347923, 0.249305, 0.359, 0.0576779, 0.545396, 0.442378, 0.131157, 0.438512, 0.297617],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=10,noise_seed=2176,exploratory_did_converge=False,smoothing_did_converge=True,param_relative_err=0.012840309326558951,param_relative_err_CR=0.0011920692224755064,param_relative_err_NR=0.0244885494306424,rms_log_T=0.15196868744636588,rms_log_E=0.0023160725408620476,rms_log_C=0.024850249091213916,rms_log_M=1.2252932173875188e-08,rms_T=53435511.366103485,rms_E=149.812980129397,rms_C=328932.86059815594,rms_M=3.4809770379956564e-10,rms_log_CR_T=0.29989965656103706,rms_log_CR_E=0.00010849075988044394,rms_log_CR_C=0.001809731634176704,rms_log_CR_M=2.4055681350137246e-08,rms_CR_T=368831.7261464826,rms_CR_E=42.36946826123328,rms_CR_C=137716.92123702783,rms_CR_M=6.767569980128373e-10,rms_log_NR_T=0.0040377183316947,rms_log_NR_E=0.004523654321843653,rms_log_NR_C=0.047890766548251126,rms_log_NR_M=4.5018299761312864e-10,rms_NR_T=106502191.00606048,rms_NR_E=257.2564919975607,rms_NR_C=520148.7999592841,rms_NR_M=1.9438409586294204e-11,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.261751, 0.349643, 0.255317, 0.357594, 0.0558274, 0.54419, 0.443396, 0.147117, 0.440317, 0.300142],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=10,noise_seed=2177,exploratory_did_converge=False,smoothing_did_converge=True,param_relative_err=0.012224091859371625,param_relative_err_CR=0.014591566135384888,param_relative_err_NR=0.009856617583358363,rms_log_T=0.12400970841423978,rms_log_E=0.0009395955315665283,rms_log_C=0.011247020854050865,rms_log_M=1.3504855981165674e-08,rms_T=18570033.557280492,rms_E=128.18403895517645,rms_C=758195.5543662732,rms_M=4.253096294741909e-10,rms_log_CR_T=0.2468133541885397,rms_log_CR_E=0.0005191415760335995,rms_log_CR_C=0.010870888579925481,rms_log_CR_M=2.6980951850149025e-08,rms_CR_T=5325327.228543463,rms_CR_E=175.33439802705104,rms_CR_C=1358256.577895239,rms_CR_M=8.473618676935272e-10,rms_log_NR_T=0.0012060626399398918,rms_log_NR_E=0.0013600494870994568,rms_log_NR_C=0.011623153128176248,rms_log_NR_M=2.8760112182324746e-11,rms_NR_T=31814739.88601752,rms_NR_E=81.03367988330194,rms_NR_C=158134.5308373079,rms_NR_M=3.257391254854703e-12,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.270501, 0.348045, 0.255111, 0.359473, 0.0531644, 0.543653, 0.415739, 0.157498, 0.441779, 0.298191],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=10,noise_seed=5173,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.765412345002154,param_relative_err_CR=1.4841881870168177,param_relative_err_NR=0.04663650298749052,rms_log_T=0.31896954734422456,rms_log_E=0.008391060617954969,rms_log_C=0.09335379834049298,rms_log_M=1.4315122479204235e-08,rms_T=142227858.17584375,rms_E=1261.5987454296016,rms_C=17041467.97594727,rms_M=4.794488366796261e-10,rms_log_CR_T=0.6280122238715811,rms_log_CR_E=0.006283403163202134,rms_log_CR_C=0.1211182207950416,rms_log_CR_M=2.8107382424114152e-08,rms_CR_T=22786299.71544553,rms_CR_E=1861.214142575899,rms_CR_C=32648777.30848276,rms_CR_M=9.347873903586967e-10,rms_log_NR_T=0.009926870816868051,rms_log_NR_E=0.010498718072707811,rms_log_NR_C=0.06558937588594435,rms_log_NR_M=5.228625342943239e-10,rms_NR_T=261669416.6362419,rms_NR_E=661.9833482833046,rms_NR_C=1434158.6434117774,rms_NR_M=2.4110283000555516e-11,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.23912, 0.368471, 0.23663, 0.376642, 0.0544436, 1.51093, 0.638196, 0.152066, 2.68894, 0.298245],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=10,noise_seed=5174,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.30271644208132936,param_relative_err_CR=0.5740741879517459,param_relative_err_NR=0.0313586962109128,rms_log_T=0.22098817890930147,rms_log_E=0.0035537686179196266,rms_log_C=0.05881461585857086,rms_log_M=1.2499024958973779e-08,rms_T=44856631.902826235,rms_E=715.7135785051689,rms_C=9472472.688721193,rms_M=4.103568855609141e-10,rms_log_CR_T=0.4393009716216964,rms_log_CR_E=0.00408537323738107,rms_log_CR_C=0.08010800698513817,rms_log_CR_M=2.3875334002048097e-08,rms_CR_T=19379006.72920682,rms_CR_E=1255.3399518350202,rms_CR_C=18592911.651364706,rms_CR_M=7.875987619723496e-10,rms_log_NR_T=0.00267538619690654,rms_log_NR_E=0.0030221639984581833,rms_log_NR_C=0.037521224732003575,rms_log_NR_M=1.1227159158994588e-09,rms_NR_T=70334257.07644565,rms_NR_E=176.08720517531737,rms_NR_C=352033.72607767826,rms_NR_M=3.3115009149478567e-11,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.27366, 0.369682, 0.259419, 0.357424, 0.0497067, 1.80647, 0.622616, 0.162757, 0.401624, 0.297748],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=10,noise_seed=5175,exploratory_did_converge=False,smoothing_did_converge=False,param_relative_err=0.25443912249473843,param_relative_err_CR=0.005297149331549522,param_relative_err_NR=0.5035810956579274,rms_log_T=0.11605204015383053,rms_log_E=0.007998079227877004,rms_log_C=0.16709019263290964,rms_log_M=2.8897576388679758e-08,rms_T=209958953.309818,rms_E=537.685941395334,rms_C=1530914.9226876295,rms_M=8.710728383732906e-10,rms_log_CR_T=0.21598241915181116,rms_log_CR_E=0.0003358917999879672,rms_log_CR_C=0.0055564710720558425,rms_log_CR_M=5.548331648199892e-08,rms_CR_T=1287271.1988171549,rms_CR_E=124.51062934771218,rms_CR_C=539767.9681805883,rms_CR_M=1.458564150925745e-09,rms_log_NR_T=0.016121661155849884,rms_log_NR_E=0.01566026665576604,rms_log_NR_C=0.3286239141937634,rms_log_NR_M=2.3118362953605936e-09,rms_NR_T=418630635.42081887,rms_NR_E=950.8612534429556,rms_NR_C=2522061.87719467,rms_NR_M=2.8358152582083643e-10,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.264481, 0.352732, 0.276482, 0.359153, 0.161671, 0.549412, 0.440189, 0.232459, 0.441071, 0.297139],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=10,noise_seed=5176,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.2714170208779715,param_relative_err_CR=0.5284314435368572,param_relative_err_NR=0.01440259821908572,rms_log_T=0.2165595327904312,rms_log_E=0.004129520090008254,rms_log_C=0.04925550361851995,rms_log_M=1.6065019239484555e-08,rms_T=58628799.34067788,rms_E=726.2316913814465,rms_C=9157720.284677032,rms_M=4.6262464584758024e-10,rms_log_CR_T=0.4292283499370342,rms_log_CR_E=0.0039399221785078545,rms_log_CR_C=0.07429305091609768,rms_log_CR_M=3.206192921246686e-08,rms_CR_T=14529874.460290711,rms_CR_E=1197.6878498609012,rms_CR_C=17795758.802132234,rms_CR_M=9.144875110474988e-10,rms_log_NR_T=0.0038907156438281873,rms_log_NR_E=0.004319118001508653,rms_log_NR_C=0.024217956320942223,rms_log_NR_M=6.810926650225558e-11,rms_NR_T=102727724.22106507,rms_NR_E=254.77553290199188,rms_NR_C=519681.76722182997,rms_NR_M=1.0761780647661601e-11,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.27128, 0.342882, 0.269963, 0.378286, 0.0544497, 0.684541, 1.45993, 0.158244, 0.449676, 0.298267],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=10,noise_seed=5177,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.2067956825652819,param_relative_err_CR=0.36772735197924866,param_relative_err_NR=0.045864013151315317,rms_log_T=0.2190688469880424,rms_log_E=0.005249613101093069,rms_log_C=0.06073965869477538,rms_log_M=1.589545620310009e-08,rms_T=108602864.65751323,rms_E=613.6637664751297,rms_C=7122923.050642075,rms_M=5.180365476239092e-10,rms_log_CR_T=0.43047999170241014,rms_log_CR_E=0.00237327090656859,rms_log_CR_C=0.05116858004186633,rms_log_CR_M=3.123058113310882e-08,rms_CR_T=15457418.277728211,rms_CR_E=718.8922489214401,rms_CR_C=13142363.375402637,rms_CR_M=1.0014282916429138e-09,rms_log_NR_T=0.007657702273674757,rms_log_NR_E=0.008125955295617547,rms_log_NR_C=0.07031073734768443,rms_log_NR_M=5.60331273091361e-10,rms_NR_T=201748311.03729826,rms_NR_E=508.4352840288194,rms_NR_C=1103482.725881512,rms_NR_M=3.464480360490446e-11,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.265904, 0.351574, 0.220955, 0.35574, 0.0531173, 1.44779, 0.40827, 0.150999, 0.40232, 0.297057],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
param='jC',noise_level=0.5,n_indivs=10,n_pts=20,param_seed=10,noise_seed=10173,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.4253106718382297,param_relative_err_CR=0.06913901787040866,param_relative_err_NR=0.7814823258060507,rms_log_T=0.24268944569100448,rms_log_E=0.01312385823085454,rms_log_C=0.26091442505214063,rms_log_M=1.3014669007497249e-08,rms_T=312521646.86632264,rms_E=1528.403701141389,rms_C=4862319.502534631,rms_M=6.47907200783833e-10,rms_log_CR_T=0.4623949787407081,rms_log_CR_E=0.0044740374079885945,rms_log_CR_C=0.08306962815724761,rms_log_CR_M=2.3849978452494435e-08,rms_CR_T=26911043.56241886,rms_CR_E=1723.1028149259255,rms_CR_C=6014885.399433125,rms_CR_M=9.815988025737864e-10,rms_log_NR_T=0.02298391264130081,rms_log_NR_E=0.021773679053720487,rms_log_NR_C=0.43875922194703365,rms_log_NR_M=2.179359562500064e-09,rms_NR_T=598132250.1702263,rms_NR_E=1333.7045873568527,rms_NR_C=3709753.605636137,rms_NR_M=3.142155989938797e-10,true_params: [0.2687545208892372, 0.3495641553684553, 0.25754504843746506, 0.35913674774711296, 0.054874484663751756, 0.5447770233722, 0.4434598433357127, 0.15728804815030434, 0.44041282029395745, 0.298440292482827],pred_params: [0.258223, 0.346034, 0.24308, 0.36437, 0.234032, 0.562182, 0.341877, 0.242451, 0.413985, 0.296723],outcomes: ['NR', 'CR', 'NR', 'CR', 'NR', 'CR', 'CR', 'NR', 'CR', 'NR']
