param='s',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=105,noise_seed=2115,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.0022318004915739664,param_relative_err_CR=0.002090048161633684,param_relative_err_NR=0.0023735528215142487,rms_log_T=0.06648343362404718,rms_log_E=0.0015297904361329267,rms_log_C=0.011556935161311678,rms_log_M=5.05098783024646e-09,rms_T=33545858.817421388,rms_E=129.89028700571424,rms_C=203076.5460130299,rms_M=1.3295598250784564e-10,rms_log_CR_T=0.13048405655541803,rms_log_CR_E=0.00019692662319279413,rms_log_CR_C=0.002956537613003113,rms_log_CR_M=1.0039280639383346e-08,rms_CR_T=514968.20489496447,rms_CR_E=80.81244990938087,rms_CR_C=149490.5107409006,rms_CR_M=2.643840000327766e-10,rms_log_NR_T=0.0024828106926763367,rms_log_NR_E=0.002862654249073059,rms_log_NR_C=0.020157332709620245,rms_log_NR_M=6.269502110957555e-11,rms_NR_T=66576749.429947816,rms_NR_E=178.96812410204754,rms_NR_C=256662.5812851592,rms_NR_M=1.5279649829146785e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.260456, 0.344379, 0.30871, 0.269016, 0.396341, 0.418659, 0.301639, 0.377608, 0.402064, 0.368206],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=105,noise_seed=2116,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.0009461632741929186,param_relative_err_CR=0.0008082710348842932,param_relative_err_NR=0.0010840555135015436,rms_log_T=0.06612170264025168,rms_log_E=0.0007284300472891827,rms_log_C=0.0052679390017361955,rms_log_M=5.0889923852495525e-09,rms_T=16192405.197177598,rms_E=60.98230792214544,rms_C=90193.84802991152,rms_M=2.768329245420345e-10,rms_log_CR_T=0.13104703509637436,rms_log_CR_E=8.404742274802218e-05,rms_log_CR_C=0.0012319026959749368,rms_log_CR_M=1.0128037343488544e-08,rms_CR_T=290664.8255060199,rms_CR_E=34.99850214251529,rms_CR_C=55705.82987674522,rms_CR_M=5.52493556270022e-10,rms_log_NR_T=0.0011963701841290002,rms_log_NR_E=0.001372812671830343,rms_log_NR_C=0.009303975307497455,rms_log_NR_M=4.994742701056075e-11,rms_NR_T=32094145.568849176,rms_NR_E=86.96611370177558,rms_NR_C=124681.86618307783,rms_NR_M=1.1722928140471113e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.2589, 0.344404, 0.308575, 0.268939, 0.396243, 0.418727, 0.299857, 0.378287, 0.400268, 0.368152],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=105,noise_seed=2117,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.002464662340155191,param_relative_err_CR=0.002601980934402934,param_relative_err_NR=0.0023273437459074486,rms_log_T=0.04950933940448601,rms_log_E=0.0012943441257617313,rms_log_C=0.01066007881951608,rms_log_M=7.196393270819747e-09,rms_T=27202360.06996418,rms_E=122.63307905706911,rms_C=192711.29310044443,rms_M=2.3591422521404236e-10,rms_log_CR_T=0.09701499973472656,rms_log_CR_E=0.00024977267810795037,rms_log_CR_C=0.0037401805664244074,rms_log_CR_M=1.4334573176386566e-08,rms_CR_T=711470.1738680021,rms_CR_E=103.0441642821974,rms_CR_C=182318.60963050838,rms_CR_M=4.703959723966954e-10,rms_log_NR_T=0.0020036790742454596,rms_log_NR_E=0.002338915573415512,rms_log_NR_C=0.017579977072607757,rms_log_NR_M=5.821336525292621e-11,rms_NR_T=53693249.966060355,rms_NR_E=142.22199383194078,rms_NR_C=203103.97657038053,rms_NR_M=1.4324780313893188e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.259955, 0.34446, 0.308706, 0.267932, 0.396101, 0.420518, 0.301711, 0.380022, 0.399532, 0.368167],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=105,noise_seed=2118,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.0025359102239791626,param_relative_err_CR=0.0022355508047640477,param_relative_err_NR=0.0028362696431942776,rms_log_T=0.024893411642148852,rms_log_E=0.001516599289346105,rms_log_C=0.01298155905907237,rms_log_M=8.541479168681065e-09,rms_T=32689569.64651537,rms_E=122.879164317449,rms_C=193874.7452876955,rms_M=2.060838824260182e-10,rms_log_CR_T=0.04736501442338675,rms_log_CR_E=0.00018383726026386112,rms_log_CR_C=0.0028699629111557058,rms_log_CR_M=1.702452636280183e-08,rms_CR_T=467561.67788882105,rms_CR_E=75.00439912673102,rms_CR_C=144363.36769836006,rms_CR_M=4.1073092592275934e-10,rms_log_NR_T=0.002421808860910945,rms_log_NR_E=0.0028493613184283487,rms_log_NR_C=0.023093155206989034,rms_log_NR_M=5.84319745602988e-11,rms_NR_T=64911577.61514191,rms_NR_E=170.753929508167,rms_NR_C=243386.12287703092,rms_NR_M=1.436838929277146e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.25979, 0.344287, 0.309331, 0.267581, 0.397634, 0.420225, 0.299774, 0.37809, 0.401037, 0.368178],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.1,n_indivs=10,n_pts=20,param_seed=105,noise_seed=2119,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.001933010096486695,param_relative_err_CR=0.0021355211457009787,param_relative_err_NR=0.001730499047272412,rms_log_T=0.032420727623921314,rms_log_E=0.0011006090409080515,rms_log_C=0.007357360886395788,rms_log_M=7.834247706949529e-09,rms_T=23888053.52901193,rms_E=105.02052346056595,rms_C=167396.4844086026,rms_M=1.934684985492862e-10,rms_log_CR_T=0.063078565452283,rms_log_CR_E=0.0001982311480630581,rms_log_CR_C=0.0029953641051368393,rms_log_CR_M=1.5649833451684717e-08,rms_CR_T=525695.2729694324,rms_CR_E=81.43367628465948,rms_CR_C=149956.47361170856,rms_CR_M=3.8642310871085736e-10,rms_log_NR_T=0.0017628897955596138,rms_log_NR_E=0.002002986933753045,rms_log_NR_C=0.011719357667654733,rms_log_NR_M=1.8661962214335653e-11,rms_NR_T=47250411.78505443,rms_NR_E=128.6073706364724,rms_NR_C=184836.49520549667,rms_NR_M=5.138883877149107e-13,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.259197, 0.344378, 0.308997, 0.26781, 0.395145, 0.417276, 0.299169, 0.380514, 0.400505, 0.368161],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=105,noise_seed=5115,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.009525567875854086,param_relative_err_CR=0.016453334003281035,param_relative_err_NR=0.002597801748427139,rms_log_T=0.10324683221678477,rms_log_E=0.0035005499322281813,rms_log_C=0.03150737571972925,rms_log_M=1.703860334408336e-08,rms_T=50776392.481404625,rms_E=798.0317472780004,rms_C=1202614.3775943655,rms_M=4.092351456060972e-10,rms_log_CR_T=0.203076872688988,rms_log_CR_E=0.0031643471217925644,rms_log_CR_C=0.04134279048654292,rms_log_CR_M=3.4010661181234856e-08,rms_CR_T=9939387.022933396,rms_CR_E=1343.988788212341,rms_CR_C=2040728.5713154278,rms_CR_M=8.168362559428437e-10,rms_log_NR_T=0.00341679174458148,rms_log_NR_E=0.0038367527426637995,rms_log_NR_C=0.021671960952915577,rms_log_NR_M=6.65455069318611e-11,rms_NR_T=91613397.93987586,rms_NR_E=252.07470634365959,rms_NR_C=364500.18387330306,rms_NR_M=1.634035269350592e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.260024, 0.350112, 0.297124, 0.267681, 0.39628, 0.419036, 0.306491, 0.376393, 0.399439, 0.368239],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=105,noise_seed=5116,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.0031876157534383885,param_relative_err_CR=0.004755539203426565,param_relative_err_NR=0.001619692303450213,rms_log_T=0.0632761850748734,rms_log_E=0.0013746859469723255,rms_log_C=0.01023098832425754,rms_log_M=1.0581976667657072e-08,rms_T=28172162.17491116,rms_E=163.9893761599509,rms_C=265974.4315231757,rms_M=2.747395484620342e-10,rms_log_CR_T=0.12449676276589591,rms_log_CR_E=0.00043092557276521397,rms_log_CR_C=0.0065495389683859415,rms_log_CR_M=2.114161944960101e-08,rms_CR_T=1255269.7175314832,rms_CR_E=177.56963424915972,rms_CR_C=314040.4560377913,rms_CR_M=5.488947461455035e-10,rms_log_NR_T=0.0020556073838508882,rms_log_NR_E=0.002318446321179437,rms_log_NR_C=0.013912437680129138,rms_log_NR_M=2.2333885713132e-11,rms_NR_T=55089054.63229084,rms_NR_E=150.40911807074207,rms_NR_C=217908.40700856023,rms_NR_M=5.843507785649448e-13,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.257951, 0.344038, 0.309008, 0.271179, 0.39531, 0.418004, 0.30244, 0.37738, 0.399969, 0.368088],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=105,noise_seed=5117,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.011349740382979624,param_relative_err_CR=0.020601274931330137,param_relative_err_NR=0.0020982058346291116,rms_log_T=0.09331649589564663,rms_log_E=0.0022581663694157144,rms_log_C=0.02433243850640195,rms_log_M=1.115427781007917e-08,rms_T=33006772.781211752,rms_E=458.84979512146646,rms_C=847532.3522207642,rms_M=2.768942900648336e-10,rms_log_CR_T=0.1843319437166553,rms_log_CR_E=0.0018459800469419717,rms_log_CR_C=0.02810063370383542,rms_log_CR_M=2.22525554287816e-08,rms_CR_T=4354248.442293072,rms_CR_E=754.078705550435,rms_CR_C=1459017.6409625378,rms_CR_M=5.524000319407243e-10,rms_log_NR_T=0.002301048074637968,rms_log_NR_E=0.0026703526918894563,rms_log_NR_C=0.02056424330896848,rms_log_NR_M=5.6000191376739954e-11,rms_NR_T=61659297.120130435,rms_NR_E=163.6208846924979,rms_NR_C=236047.06347899092,rms_NR_M=1.388548188942775e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.266931, 0.344075, 0.298802, 0.274176, 0.394674, 0.41967, 0.307054, 0.380311, 0.401811, 0.36801],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=105,noise_seed=5118,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.003831264873770615,param_relative_err_CR=0.0031280326853766515,param_relative_err_NR=0.004534497062164579,rms_log_T=0.1050731586966781,rms_log_E=0.0029108906916236557,rms_log_C=0.023755764272605496,rms_log_M=6.588711965200931e-09,rms_T=64453462.74257555,rms_E=224.98715603379682,rms_C=339608.76669482316,rms_M=2.526753752479503e-10,rms_log_CR_T=0.20536782857431302,rms_log_CR_E=0.0002660692532944028,rms_log_CR_C=0.0041230348806439495,rms_log_CR_M=1.3092790946547031e-08,rms_CR_T=818714.0692055653,rms_CR_E=109.69440370475525,rms_CR_C=190136.77615408337,rms_CR_M=5.032238243074975e-10,rms_log_NR_T=0.004778488819043156,rms_log_NR_E=0.005555712129952909,rms_log_NR_C=0.04338849366456704,rms_log_NR_M=8.463298385483093e-11,rms_NR_T=128088211.41594553,rms_NR_E=340.2799083628384,rms_NR_C=489080.7572355629,rms_NR_M=2.1269261884030376e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.257409, 0.344449, 0.308436, 0.268809, 0.397399, 0.419714, 0.29815, 0.376871, 0.396977, 0.367978],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.25,n_indivs=10,n_pts=20,param_seed=105,noise_seed=5119,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.006445900407754304,param_relative_err_CR=0.00796358442815029,param_relative_err_NR=0.004928216387358318,rms_log_T=0.07345659958377779,rms_log_E=0.00295196029163836,rms_log_C=0.024797517789937086,rms_log_M=1.1834266249163131e-08,rms_T=60367110.67232307,rms_E=302.23917488785554,rms_C=475681.8775379746,rms_M=2.756322824731112e-10,rms_log_CR_T=0.14249163776082394,rms_log_CR_E=0.0007054555609967029,rms_log_CR_C=0.010786079657076808,rms_log_CR_M=2.361534057045628e-08,rms_CR_T=2164734.355363029,rms_CR_E=291.17152748611204,rms_CR_C=505136.693984029,rms_CR_M=5.498006922705286e-10,rms_log_NR_T=0.004421561406731668,rms_log_NR_E=0.005198465022280018,rms_log_NR_C=0.03880895592279736,rms_log_NR_M=5.319192786997919e-11,rms_NR_T=118569486.98928311,rms_NR_E=313.306822289599,rms_NR_C=446227.0610919202,rms_NR_M=1.4638726756939367e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.263277, 0.344764, 0.306045, 0.271924, 0.390798, 0.416708, 0.298604, 0.380471, 0.402275, 0.368111],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
param='s',noise_level=0.5,n_indivs=10,n_pts=20,param_seed=105,noise_seed=10115,exploratory_did_converge=True,smoothing_did_converge=True,param_relative_err=0.02283317858917879,param_relative_err_CR=0.039263649481529106,param_relative_err_NR=0.006402707696828476,rms_log_T=0.14722927799340305,rms_log_E=0.007429196012649339,rms_log_C=0.0533346352101278,rms_log_M=9.056916110108393e-09,rms_T=145836134.9231576,rms_E=1036.9136640346892,rms_C=1700593.693625721,rms_M=3.264185166311592e-10,rms_log_CR_T=0.28390989470976674,rms_log_CR_E=0.0031441829328912258,rms_log_CR_C=0.049482082652062845,rms_log_CR_M=1.8007633945817937e-08,rms_CR_T=9289089.1781943,rms_CR_E=1299.7841192236415,rms_CR_C=2267123.417164887,rms_CR_M=6.500995581863884e-10,rms_log_NR_T=0.01054866127703931,rms_log_NR_E=0.011714209092407451,rms_log_NR_C=0.05718718776819276,rms_log_NR_M=1.0619827439884967e-10,rms_NR_T=282383180.6681209,rms_NR_E=774.0432088457362,rms_NR_C=1134063.9700865555,rms_NR_M=2.737475075929966e-12,true_params: [0.25938950598671495, 0.3442946330965429, 0.3084227131571396, 0.2690538543517579, 0.3949836751702604, 0.41882353072310763, 0.3001318941671911, 0.37897204783963956, 0.4003242635483123, 0.3681716267402146],pred_params: [0.274759, 0.345637, 0.310127, 0.2932, 0.397728, 0.418908, 0.288758, 0.37129, 0.402071, 0.368087],outcomes: ['CR', 'CR', 'CR', 'CR', 'NR', 'NR', 'CR', 'NR', 'NR', 'NR']
