rep,id,rho,K,kappa1,kappa2,theta,X0,Y0
1,0,0.0549418,9.99561e+08,5.9999e-09,2.97581e-11,9.99978e-06,1.30018e+08,6.97076e+06
2,0,0.0552508,9.99989e+08,5.99481e-09,2.90787e-11,1.00064e-05,1.30043e+08,6.95529e+06
3,0,0.0539821,1.00001e+09,5.99334e-09,2.85035e-11,1.00021e-05,1.30024e+08,6.969e+06
4,0,0.0531397,9.99725e+08,5.97718e-09,2.84664e-11,9.99887e-06,1.3003e+08,6.97673e+06
5,0,0.0558928,9.99899e+08,5.99086e-09,2.92631e-11,1.00065e-05,1.30024e+08,6.95921e+06
6,0,0.0538326,1.00002e+09,5.99029e-09,2.8532e-11,1.00092e-05,1.30006e+08,6.99581e+06
7,0,0.0523944,9.99659e+08,5.98809e-09,2.72735e-11,1.00022e-05,1.30016e+08,6.99068e+06
8,0,0.053721,9.99934e+08,5.99483e-09,2.82491e-11,9.99944e-06,1.29985e+08,6.97262e+06
9,0,0.0530172,1.00011e+09,5.98573e-09,2.75376e-11,1.00032e-05,1.30014e+08,6.98623e+06
10,0,0.0528621,1.00033e+09,5.99476e-09,2.80707e-11,9.99952e-06,1.30006e+08,6.9691e+06
1,1,0.0544957,9.99837e+08,5.99683e-09,3.34077e-11,1.00006e-05,1.30009e+08,6.98169e+06
2,1,0.055621,9.99899e+08,5.99131e-09,3.40105e-11,1.00031e-05,1.3003e+08,6.98981e+06
3,1,0.0548765,9.99619e+08,5.99748e-09,3.36083e-11,9.9978e-06,1.30014e+08,6.97128e+06
4,1,0.0534156,9.99954e+08,5.99514e-09,3.17579e-11,1.00036e-05,1.30081e+08,6.9698e+06
5,1,0.0568011,9.99972e+08,5.98899e-09,3.35126e-11,1.00044e-05,1.3005e+08,6.96249e+06
6,1,0.0548838,1.0005e+09,5.98519e-09,3.28451e-11,9.9985e-06,1.30022e+08,6.95493e+06
7,1,0.0532916,9.99822e+08,5.98692e-09,3.24005e-11,9.99595e-06,1.30032e+08,6.98212e+06
8,1,0.0538115,9.99733e+08,5.98898e-09,3.21859e-11,1.00023e-05,1.30015e+08,6.9947e+06
9,1,0.0560726,9.99816e+08,5.98048e-09,3.29727e-11,1.00051e-05,1.30002e+08,6.94852e+06
10,1,0.0567346,1.00038e+09,5.99699e-09,3.32808e-11,9.99334e-06,1.30019e+08,6.9606e+06
1,2,0.044494,1.00027e+09,5.98053e-09,3.90187e-11,9.99719e-06,1.30055e+08,6.96948e+06
2,2,0.0434591,1.00007e+09,5.9901e-09,3.9497e-11,1.00067e-05,1.30042e+08,6.99008e+06
3,2,0.0436561,9.99602e+08,5.98937e-09,3.83835e-11,1.00021e-05,1.30016e+08,6.98625e+06
4,2,0.0418978,9.99916e+08,5.99119e-09,3.30856e-11,9.99786e-06,1.30023e+08,6.97571e+06
5,2,0.0420984,9.99963e+08,5.98894e-09,3.54439e-11,9.99842e-06,1.30021e+08,6.97269e+06
6,2,0.0439417,9.99959e+08,5.99016e-09,3.95754e-11,9.99526e-06,1.30005e+08,6.96973e+06
7,2,0.0441327,1.00017e+09,5.9966e-09,3.85045e-11,9.99856e-06,1.30016e+08,6.9809e+06
8,2,0.0443962,9.99708e+08,5.98475e-09,4.02595e-11,9.99134e-06,1.30031e+08,6.97584e+06
9,2,0.0432002,1.00006e+09,6.00102e-09,3.83323e-11,9.9958e-06,1.30047e+08,6.97102e+06
10,2,0.0446332,9.99966e+08,5.99305e-09,3.76917e-11,9.99981e-06,1.30017e+08,6.9966e+06
1,3,0.0382811,9.99835e+08,5.99642e-09,3.78984e-11,9.99936e-06,1.30046e+08,6.98701e+06
2,3,0.0377555,9.99812e+08,5.9931e-09,3.71668e-11,9.99344e-06,1.30064e+08,6.98683e+06
3,3,0.0379611,1.00006e+09,5.99277e-09,3.91348e-11,1.0005e-05,1.30031e+08,6.96927e+06
4,3,0.038494,1.00002e+09,5.98834e-09,4.10337e-11,1.00012e-05,1.30054e+08,6.97058e+06
5,3,0.0393879,1.00008e+09,5.99047e-09,4.09424e-11,9.99891e-06,1.30054e+08,6.98828e+06
6,3,0.0382786,1.00002e+09,5.9852e-09,3.88459e-11,1.00008e-05,1.29997e+08,6.99626e+06
7,3,0.0394822,1.0002e+09,5.99752e-09,4.19411e-11,1e-05,1.30052e+08,6.96233e+06
8,3,0.0401595,9.99959e+08,5.9975e-09,4.22365e-11,9.99425e-06,1.30007e+08,6.96095e+06
9,3,0.0427931,1.00011e+09,5.98565e-09,4.5005e-11,1.00022e-05,1.29985e+08,6.96765e+06
10,3,0.0378914,9.9997e+08,5.98037e-09,4.01617e-11,1.00005e-05,1.30015e+08,6.97506e+06
1,4,0.0641345,9.99858e+08,5.98573e-09,2.24297e-11,1.00001e-05,1.30003e+08,6.97695e+06
2,4,0.0626707,9.99909e+08,5.99308e-09,2.19917e-11,1.00038e-05,1.30017e+08,6.96613e+06
3,4,0.0630657,1.00031e+09,5.99005e-09,2.12494e-11,1.00084e-05,1.30017e+08,6.97486e+06
4,4,0.0637677,9.9945e+08,5.9909e-09,2.19424e-11,9.99628e-06,1.30063e+08,6.97961e+06
