rep,id,eta_rho,eta_K,eta_kappa1,eta_kappa2,eta_theta,eta_X0,eta_Y0
1,0,-0.0502926,-0.00038159,0.00163785,-2.4278e-12,-9.08956e-05,-2.42875e-05,-0.00052824
2,0,-0.0446848,4.68446e-05,0.000789467,-3.10716e-12,0.000569298,0.000163902,-0.00274965
3,0,-0.0679151,7.10938e-05,0.000544113,-3.68235e-12,0.000139741,2.14891e-05,-0.000780769
4,0,-0.0836436,-0.000218036,-0.00215663,-3.71947e-12,-0.000181709,6.66921e-05,0.000327593
5,0,-0.033133,-4.34894e-05,0.000129255,-2.92278e-12,0.000577998,1.58485e-05,-0.00218711
6,0,-0.0706885,7.61777e-05,3.48172e-05,-3.6539e-12,0.000855414,-0.000117873,0.00305851
7,0,-0.0977685,-0.000284082,-0.000332071,-4.91237e-12,0.000149931,-4.23673e-05,0.00232475
8,0,-0.0727643,-8.5886e-06,0.000792235,-3.93673e-12,-0.000124661,-0.00028094,-0.000262046
9,0,-0.0859505,0.00017033,-0.000727107,-4.64823e-12,0.000253608,-5.53765e-05,0.00168862
10,0,-0.088882,0.000387566,0.000780433,-4.11515e-12,-0.000116629,-0.000121059,-0.000767362
1,1,-0.0584452,-0.000105177,0.00112503,1.22179e-12,-1.20715e-05,-9.93537e-05,0.00103765
2,1,-0.0380063,-4.34037e-05,0.000204091,1.82459e-12,0.000241738,6.33797e-05,0.00220125
3,1,-0.0514832,-0.000323977,0.00123487,1.42242e-12,-0.000288488,-5.47313e-05,-0.000454488
4,1,-0.0784651,1.18706e-05,0.000843721,-4.27971e-13,0.000288698,0.000460721,-0.00066671
5,1,-0.0170124,2.96503e-05,-0.000181763,1.32673e-12,0.000373614,0.00021719,-0.0017149
6,1,-0.051349,0.000562202,-0.00081719,6.59188e-13,-0.000219069,3.67954e-06,-0.00280198
7,1,-0.0807896,-0.000121104,-0.000528067,2.14651e-13,-0.000474408,7.93106e-05,0.00109993
8,1,-0.0710798,-0.0002096,-0.000183941,0,0.000159467,-5.09069e-05,0.00290066
9,1,-0.029921,-0.00012675,-0.00160434,7.86795e-13,0.000439852,-0.000151805,-0.00372463
10,1,-0.0181833,0.000435911,0.00115199,1.09495e-12,-0.000734745,-2.10402e-05,-0.00198774
1,2,-0.261213,0.000326119,-0.00159541,6.83288e-12,-0.00035017,0.000254816,-0.000712548
2,2,-0.284748,0.000131464,3.65587e-06,7.3111e-12,0.00059623,0.000159966,0.00223993
3,2,-0.280226,-0.000341006,-0.000118683,6.19761e-12,0.000136148,-4.20846e-05,0.00169104
4,2,-0.321334,-2.67438e-05,0.000185108,8.99744e-13,-0.00028264,1.03557e-05,0.000181081
5,2,-0.316557,2.07791e-05,-0.000191264,3.258e-12,-0.000226892,-7.08809e-06,-0.000251753
6,2,-0.273704,1.59916e-05,1.2153e-05,7.38957e-12,-0.000543079,-0.000128468,-0.000676535
7,2,-0.269366,0.00022503,0.00108722,6.31862e-12,-0.000213028,-4.10008e-05,0.000924727
8,2,-0.263414,-0.000234453,-0.000890725,8.07364e-12,-0.000935117,7.59211e-05,0.000200513
9,2,-0.290723,0.000118574,0.00182407,6.14647e-12,-0.000489338,0.000197024,-0.000491792
10,2,-0.25809,2.31614e-05,0.000495167,5.50579e-12,-8.74929e-05,-3.86941e-05,0.00317149
1,3,-0.411613,-0.000107212,0.00105773,5.71254e-12,-0.000132855,0.000191619,0.00179986
2,3,-0.425436,-0.000130484,0.000503036,4.98096e-12,-0.000724973,0.00032858,0.00177387
3,3,-0.420007,0.000118339,0.000447855,6.94896e-12,0.000427447,7.52048e-05,-0.000741728
4,3,-0.406065,8.00782e-05,-0.000290336,8.84782e-12,4.90758e-05,0.000248242,-0.000554801
5,3,-0.383109,0.000133475,6.44207e-05,8.75654e-12,-0.000177804,0.000247088,0.00198153
6,3,-0.411677,7.83394e-05,-0.000814713,6.66002e-12,9.44268e-06,-0.000188448,0.00312266
7,3,-0.380718,0.000258052,0.0012401,9.75521e-12,-6.55252e-05,0.000234169,-0.00173819
8,3,-0.36371,1.68951e-05,0.00123696,1.00506e-11,-0.000644012,-0.00010976,-0.00193737
9,3,-0.300192,0.000164755,-0.000740592,1.28192e-11,0.000146647,-0.000279553,-0.000974852
10,3,-0.421844,2.7192e-05,-0.0016234,7.97582e-12,-2.33855e-05,-4.70982e-05,8.82992e-05
1,4,0.104415,-8.43382e-05,-0.000727242,-9.75615e-12,-6.31017e-05,-0.000139012,0.00035977
2,4,0.0813268,-3.39381e-05,0.000500886,-1.01942e-11,0.000309453,-3.52863e-05,-0.00119303
3,4,0.0876087,0.000365536,-5.63607e-06,-1.09364e-11,0.000766031,-3.68081e-05,5.99767e-05
4,4,0.0986795,-0.000493207,0.000136855,-1.02435e-11,-0.000440737,0.000316257,0.000739937
5,4,0.113395,0.000120889,0.000167733,-1.06181e-11,-0.000157529,0.000161367,0.0006627
6,4,0.0912664,-0.000421048,0.000664592,-1.09303e-11,-9.42997e-05,-3.99699e-05,0.000925237
7,4,0.101029,0.000310676,0.000759376,-1.01007e-11,5.04852e-05,-3.57974e-05,-0.000386251
8,4,0.165224,-0.00021447,-0.000713025,-1.06065e-11,-1.78214e-05,0.00016745,-1.09589e-05
9,4,0.122941,0.0002279,0.00177195,-1.07544e-11,0.000554307,0.000156638,0.000402846
10,4,0.126915,-0.000134479,-0.000232575,-1.07732e-11,0.000583404,-0.000256007,-0.00018417
1,5,0.497777,-9.85526e-05,0.000553244,-3.55625e-12,0.000208222,0.000200589,0.000140862
2,5,0.510045,-3.05972e-05,-0.000558602,-2.45916e-12,0.000225726,-0.000360724,-0.00182126
3,5,0.538808,-0.000221762,8.21314e-05,-3.38911e-12,0.000328744,-8.75891e-05,4.9257e-05
4,5,0.495546,0.000352755,-0.00159317,-2.6983e-12,-0.000445575,-8.80253e-05,-0.000681875
5,5,0.466705,0.00017182,-0.000471383,-2.33833e-12,-0.000484948,-2.71086e-05,0.00279451
6,5,0.505098,0.000109598,-0.000709288,-2.80153e-12,1.13874e-05,0.000214662,0.00112809
7,5,0.564365,-0.000112788,0.000117531,-3.61344e-12,0.00087122,5.82569e-05,0.00116095
8,5,0.506264,0.000369376,0.00031916,-2.36019e-12,-9.4968e-05,0.000118872,0.00195072
9,5,0.488046,1.69656e-05,-0.000847568,-2.93745e-12,0.000334876,3.40416e-05,-0.000439221
10,5,0.489072,-0.000381514,0.000508045,-3.51455e-12,-0.000478484,-0.000241543,0.00320867
1,6,0.038675,-0.000105728,-0.00082168,0,-2.71461e-05,8.72894e-05,-0.00306232
2,6,0.0999022,5.98572e-05,0.000465941,1.6704e-12,5.87287e-05,0.000206048,9.74771e-05
3,6,0.0352341,-5.09872e-05,-0.000860224,1.19808e-12,0.000640184,0.000335157,0.000990899
