parameter,value,CV
rho_pop,0.0577756712201131,
K_pop,999942598.229905,
kappa1_pop,5.99008254122962e-09,
kappa2_pop,3.2185870975316e-11,
theta_pop,1.00006891686821e-05,
X0_pop,130021532.91464,
Y0_pop,6974445.02666642,
omega_rho,0.275239477703505,28.0535505947558
omega_K,0.000193697098846356,0.0193697100385807
omega_kappa1,0.000969207207753368,0.0969207435318473
omega_kappa2,1.49011611938477e-08,46297.2128524211
omega_theta,0.000438078531482406,0.0438078552409975
omega_X0,0.00015865336111073,0.0158653362311728
omega_Y0,0.00161130012856455,0.161130117442367
b0,0.114228896425957,
b1,0.0933577083550393,
