rep,id,eta_r,eta_K,eta_p,eta_T50,eta_h,eta_l,eta_delta_ef,eta_delta_m,eta_kappa,eta_Cef50,eta_q,eta_T0,eta_Cef0,eta_Cm0
1,P1,0.0489245,1.58617,-0.469619,0.102521,-0.129278,-1.35812,0.180646,-0.504193,-0.1654,0.836988,4.82941,-0.190094,0.221781,-1.1027
2,P1,0.271105,-1.20848,0.0530789,0.128183,-0.157191,0.14122,-0.00387467,0.377511,0.0876377,-0.0932689,0.96547,-0.475373,0.771153,3.98775
3,P1,0.021118,-0.209955,0.313165,0.320132,-0.86243,-0.160567,0.211052,-0.426928,0.0660252,-0.0391159,0.396484,-0.268883,1.94346,-0.445403
4,P1,0.385221,-0.330529,-0.33735,0.309873,0.222635,-0.0360408,0.485425,-0.279336,0.182656,-0.336031,-0.0974786,0.118202,-3.65298,1.81677
5,P1,0.197137,-1.74699,0.297001,0.245819,-0.6115,0.026249,0.487756,0.521804,-0.0505186,0.0402226,1.5906,-0.296564,-6.31418,0.813623
6,P1,-0.163099,0.251984,-0.127737,-0.2085,1.01138,-0.112745,0.0298576,-0.483037,0.520525,0.027974,0.882292,-0.167102,-3.65764,0.285924
7,P1,-0.492616,0.0765917,-0.157211,0.45683,-0.597659,-0.21804,0.58454,-0.0871793,0.271336,0.959939,2.62423,0.0453735,0.763326,0.89476
8,P1,0.182642,-0.310558,-0.0439346,0.49788,-0.22232,-0.871023,0.134201,0.240179,-0.190938,0.272375,2.1519,-0.0535189,-2.61898,-1.66813
9,P1,-0.511523,-2.20807,-0.107649,0.0144296,-0.272521,0.172619,-0.0438503,0.0318324,0.0519247,0.0242203,-0.663796,-0.0664648,-3.67959,0.660721
10,P1,-0.487714,-2.77737,0.453646,0.063835,-0.0107203,1.36876,0.358948,0.296531,0.00654291,-0.359969,2.37554,-0.223805,2.00916,-1.65318
1,P2,-0.242664,-2.43929,-0.058101,-0.190528,0.124166,-0.595245,0.00138046,0.475827,-0.159616,0.0946647,-2.09776,0.0509308,2.02701,-0.295219
2,P2,0.00145093,-1.29488,-0.0563799,0.0182163,0.548441,0.0876969,-0.162777,-0.0751168,-0.159661,-0.681078,0.122962,0.200054,0.232809,0.91324
3,P2,-0.183289,0.0975369,-0.130177,-0.330226,0.83829,-0.28392,-0.0947553,-0.505142,0.0718487,-0.652062,-1.54451,-0.246304,3.61576,0.33356
4,P2,-0.556715,-1.16631,0.323342,0.101143,0.940051,0.514692,0.300278,-0.190202,0.265011,-0.901398,0.878876,0.520923,-3.11537,-0.14872
