parameter,value,CV
r_pop,0.153031306861513,
K_pop,3313091498.22824,
p_pop,7.46775096537159,
T50_pop,32292390.3790199,
h_pop,6.52508622111505,
l_pop,0.989791300443613,
delta_ef_pop,1.14525948043374,
delta_m_pop,0.0706222546633933,
kappa_pop,1.51272624469674,
Cef50_pop,61574570.4871035,
q_pop,1.35878048684489e-06,
T0_pop,55559045.8259929,
Cef0_pop,3615321.77996295,
Cm0_pop,0.839734642195556,
omega_r,0.441980548929286,46.4470167263699
omega_K,1.62534936220745,361.08027185762
omega_p,0.195940491934342,19.7836291393156
omega_T50,0.313552459799511,32.1419403806638
omega_h,0.778748913229389,91.3186296409975
omega_l,0.569604992569121,61.9087576644579
omega_delta_ef,0.418022334121872,43.6966491661048
omega_delta_m,0.541717701743304,58.400080954028
omega_kappa,0.202916609993977,20.5023419541693
omega_Cef50,0.919885522282971,115.35806423246
omega_q,2.24289421505679,1232.96752521421
omega_T0,0.311920135471335,31.9663192395961
omega_Cef0,2.89968405079579,6695.17536814507
omega_Cm0,2.10407929933527,909.354318352832
a0,1.77482237600455,
b0,2.22044604925031e-16,
a1,0.178774912000734,
b1,0,
