rep,id,rs,S0,K
1,0,0.197842,5.19936,676.846
2,0,0.16474,11.9853,671.272
3,0,0.15527,11.1175,698.399
4,0,0.170167,12.5255,688.305
5,0,0.158254,11.6381,669.057
6,0,0.169078,10.8493,676.571
7,0,0.173888,9.84513,679.669
8,0,0.168013,9.77979,704.801
9,0,0.157736,11.6257,687.764
10,0,0.160172,10.942,690.848
1,1,0.168211,8.12215,719.002
2,1,0.157908,9.00688,702.972
3,1,0.141291,12.376,715.238
4,1,0.146677,11.6153,731.929
5,1,0.15886,7.62872,717.453
6,1,0.142197,11.8153,705.475
7,1,0.155289,7.97646,740.561
8,1,0.159577,6.91662,730.418
9,1,0.144883,11.8512,704.312
10,1,0.142574,12.4435,718.1
1,2,0.157447,8.32166,683.89
2,2,0.136709,13.4043,676.049
3,2,0.161738,8.0921,685.229
4,2,0.146958,10.5491,691.973
5,2,0.153981,8.25785,654.198
6,2,0.16506,6.73785,688.592
7,2,0.160927,7.51337,679.016
8,2,0.145273,9.94002,670.561
9,2,0.164641,7.84772,694.815
10,2,0.163258,6.48602,670.04
1,3,0.154445,13.9944,773.182
2,3,0.163532,8.20798,795.546
3,3,0.157381,10.9958,770.487
4,3,0.171146,8.00528,776.836
5,3,0.156104,11.7375,771.454
6,3,0.157385,9.77661,783.804
7,3,0.160256,9.17103,788.483
8,3,0.15737,10.44,779.478
9,3,0.171546,9.48304,775.519
10,3,0.174658,6.40979,787.475
1,4,0.12934,11.8161,690.201
2,4,0.148706,7.8692,701.492
3,4,0.151156,7.21436,680.852
4,4,0.157641,5.81497,667.08
5,4,0.146657,8.63643,696.59
6,4,0.164996,4.47382,685.473
7,4,0.179795,4.44185,682.625
8,4,0.148962,6.29208,692.867
9,4,0.1502,8.44665,677.942
10,4,0.141179,9.57325,693.51
1,5,0.121497,5.23659,678.546
2,5,0.118076,6.24439,680.97
3,5,0.110147,7.65099,667.436
4,5,0.123185,4.41397,654.622
5,5,0.103445,9.25659,668.507
6,5,0.105533,9.37707,666.621
7,5,0.113556,8.21506,683.925
8,5,0.102158,9.43349,682.209
9,5,0.0959545,12.714,693.681
10,5,0.108238,7.23501,691.754
1,6,0.164448,5.84244,701.014
2,6,0.140139,10.9618,730.994
3,6,0.146654,9.3064,714.262
4,6,0.143085,9.05058,711.497
5,6,0.153078,7.9938,710.783
6,6,0.145713,7.69544,694.448
7,6,0.144761,8.32986,740.678
