rep,id,eta_rs,eta_S0,eta_K
1,0,0.0509189,-3.50301,-30.7601
2,0,0.0178161,3.28292,-36.3345
3,0,0.00834655,2.41513,-9.20689
4,0,0.0232436,3.82315,-19.3015
5,0,0.0113303,2.93578,-38.5493
6,0,0.0221545,2.14689,-31.0356
7,0,0.0269647,1.14277,-27.9369
8,0,0.02109,1.07743,-2.80569
9,0,0.0108122,2.92331,-19.8422
10,0,0.0132489,2.23968,-16.7578
1,1,0.0212878,-0.580214,11.3962
2,1,0.0109849,0.304515,-4.63399
3,1,-0.0056328,3.67368,7.6321
4,1,-0.000246297,2.91295,24.323
5,1,0.0119365,-1.07365,9.84695
6,1,-0.00472681,3.11298,-2.13091
7,1,0.00836523,-0.725903,32.9546
8,1,0.0126536,-1.78574,22.8116
9,1,-0.00204037,3.14881,-3.29442
10,1,-0.0043494,3.74116,10.4933
1,2,0.010524,-0.380705,-23.7166
2,2,-0.0102141,4.70196,-31.557
3,2,0.0148145,-0.610265,-22.3775
4,2,3.48154e-05,1.84672,-15.6334
5,2,0.00705772,-0.444518,-53.4082
6,2,0.0181364,-1.96451,-19.0138
7,2,0.0140031,-1.18899,-28.5901
8,2,-0.00165048,1.23765,-37.0451
9,2,0.0177171,-0.854642,-12.7915
10,2,0.0163348,-2.21635,-37.5663
1,3,0.00752126,5.29204,65.5757
2,3,0.0166082,-0.494384,87.9397
3,3,0.0104579,2.29349,62.8804
4,3,0.0242224,-0.697083,69.23
5,3,0.00918066,3.03514,63.8475
6,3,0.0104614,1.07425,76.1974
7,3,0.0133323,0.468668,80.8772
8,3,0.0104462,1.73763,71.8713
9,3,0.0246229,0.780675,67.9123
10,3,0.0277348,-2.29257,79.869
1,4,-0.0175834,3.11375,-17.4051
2,4,0.00178306,-0.833165,-6.1142
3,4,0.0042325,-1.48801,-26.7546
4,4,0.0107176,-2.8874,-40.5267
5,4,-0.000266877,-0.0659359,-11.0164
6,4,0.0180726,-4.22854,-22.1335
7,4,0.0328711,-4.26052,-24.9809
8,4,0.00203877,-2.41028,-14.7389
9,4,0.00327647,-0.255713,-29.6638
10,4,-0.00574451,0.870884,-14.0958
1,5,-0.0254262,-3.46577,-29.0607
2,5,-0.0288475,-2.45797,-26.6367
3,5,-0.0367766,-1.05137,-40.1699
4,5,-0.0237388,-4.28839,-52.9845
5,5,-0.0434784,0.554228,-39.0997
6,5,-0.0413902,0.674703,-40.985
7,5,-0.0333672,-0.4873,-23.6815
8,5,-0.0447653,0.731128,-25.3974
9,5,-0.0509689,4.01163,-13.925
10,5,-0.0386849,-1.46736,-15.852
1,6,0.0175241,-2.85992,-6.59259
2,6,-0.00678434,2.25941,23.3882
3,6,-0.000269151,0.604037,6.65584
4,6,-0.00383857,0.348211,3.89114
5,6,0.00615432,-0.708566,3.17677
6,6,-0.00121056,-1.00692,-13.1587
7,6,-0.00216274,-0.372506,33.0719
8,6,0.01158,-1.99782,-4.21742
9,6,0.00757523,0.446139,13.4513
10,6,0.00841338,-1.86006,15.4232
1,7,-0.0176885,0.012608,63.7103
2,7,-0.0231014,1.68208,46.7615
3,7,-0.00331762,-3.20297,39.4797
4,7,-0.0245987,2.12628,66.2716
5,7,-0.0114016,2.00189,24.1491
6,7,-0.012098,0.200615,32.3359
7,7,-0.00603997,-1.15331,43.2613
8,7,-0.0192936,1.81644,71.435
9,7,-0.0159475,1.33491,58.3167
10,7,-0.0132307,-0.460041,52.57
1,8,-0.0107768,-3.7601,16.8514
2,8,-0.0222055,-0.228649,12.4487
3,8,-0.0150919,-2.87861,22.7616
4,8,-0.0130713,-2.62636,12.2506
5,8,-0.00206303,-4.57045,-7.70716
6,8,-0.0187113,-0.518029,31.4962
7,8,-0.0153861,-1.72136,30.6054
8,8,-0.0290605,1.96904,-4.88056
9,8,-0.0150794,-2.51194,5.11116
10,8,-0.0235068,-1.17577,5.70254
1,9,-0.0198399,1.42287,19.7018
2,9,-0.0219825,1.75892,28.8224
3,9,-0.0166512,0.9318,37.2601
4,9,-0.00318073,-2.25345,23.1904
5,9,0.00120646,-2.63413,18.9339
6,9,-0.00125126,-4.59468,20.9636
7,9,-0.0190492,1.91212,37.4719
8,9,-0.0319315,3.64653,24.9994
9,9,-0.00806315,-1.69025,29.278
10,9,0.0145334,-5.81975,18.1699
1,10,0.0122089,1.77894,64.1004
2,10,0.0273225,0.106098,48.1665
3,10,0.0203984,5.69928,36.3741
4,10,0.0239186,0.881151,56.8207
5,10,0.0293922,1.40201,54.7165
6,10,0.0216416,4.21938,37.2281
7,10,0.0239217,1.52985,41.9926
8,10,0.0279138,0.349114,59.2206
9,10,0.0327577,-1.86487,47.1531
10,10,0.0137772,2.07481,34.1299
1,11,0.0425373,-0.0728623,1.90304
2,11,0.0475543,3.12148,-3.48842
3,11,0.0530847,-0.0283218,-12.6261
4,11,0.0527397,-1.09724,-1.19597
5,11,0.0561294,1.52734,-9.02439
6,11,0.0451641,1.58466,-13.997
7,11,0.0566229,0.393038,16.9057
8,11,0.0503358,0.792507,-6.25719
9,11,0.0334482,5.18157,-0.880631
10,11,0.0412399,2.69944,-7.7067
1,12,0.0130551,2.05808,-20.0461
2,12,0.00424935,2.86112,-40.7597
3,12,0.0105772,1.99135,-43.5329
4,12,0.0242996,-1.51086,-16.0918
5,12,0.0280419,-2.86553,-33.524
6,12,0.0377232,-3.92867,-33.5053
7,12,0.0219498,-0.793179,-57.0389
8,12,0.0120377,0.871026,-39.5966
9,12,0.00920331,2.29,-44.7748
10,12,0.0145378,-0.305411,-23.4524
1,13,0.00356713,0.937041,1.09383
2,13,0.0112119,-0.0705544,-1.93555
3,13,0.00884725,0.361862,-23.2183
4,13,0.00868576,1.4183,-1.01816
5,13,0.00188988,3.35773,-12.0356
6,13,0.00588606,0.180843,-8.93854
7,13,0.0180521,-1.35577,-1.92404
8,13,0.0329123,-2.00422,-10.6907
9,13,0.00959835,1.47485,-8.75083
10,13,0.00758574,1.46529,-10.6911
1,14,-0.0306483,5.28523,37.4534
2,14,-0.00823162,0.0864312,22.4669
3,14,-0.027588,2.92135,30.9006
4,14,-0.033991,7.53113,17.5239
5,14,-0.00655028,-1.64789,19.5803
6,14,-0.0166156,-0.490594,24.935
7,14,-0.012637,1.79038,7.0982
