rep,id,rs,S0,K
1,0,0.175955,7.0057,688.656
2,0,0.180482,7.13264,706.892
3,0,0.170948,7.59671,704.271
4,0,0.165594,6.87753,715.272
5,0,0.168677,5.9472,708.645
6,0,0.175653,7.28778,693.446
7,0,0.165402,7.51701,704.349
8,0,0.167099,6.83224,697.553
9,0,0.16717,6.66968,695.212
10,0,0.177697,6.83522,707.672
1,1,0.151713,7.38025,725.444
2,1,0.147286,7.87491,752.051
3,1,0.146684,7.26675,728.994
4,1,0.15894,5.34948,731.684
5,1,0.152313,6.21092,721.183
6,1,0.148467,7.38208,732.861
7,1,0.161405,5.69989,722.661
8,1,0.161738,5.60289,723.898
9,1,0.153551,7.30938,722.055
10,1,0.154945,6.27235,728.895
1,2,0.174151,7.04519,694.068
2,2,0.155887,8.15552,723.416
3,2,0.160552,6.55936,705.563
4,2,0.156464,6.79781,700.119
5,2,0.159252,6.62763,705.342
6,2,0.159313,7.16133,707.357
7,2,0.1646,6.96182,701.556
8,2,0.168684,6.806,695.18
9,2,0.160532,6.29117,687.494
10,2,0.164556,5.94136,684.65
1,3,0.173774,6.71342,717.921
2,3,0.17329,7.17731,715.083
3,3,0.181431,6.35518,726.37
4,3,0.177933,6.75217,702.407
5,3,0.171755,7.56811,712.521
6,3,0.173046,7.01289,713.492
7,3,0.168424,7.90939,729.338
8,3,0.178494,6.88344,705.45
9,3,0.169402,7.51849,716.87
10,3,0.177417,6.2285,724.298
1,4,0.145127,7.04721,692.764
2,4,0.156977,6.41547,686.47
3,4,0.149243,7.25634,697.248
4,4,0.146848,7.83597,704.257
5,4,0.144874,6.00091,695.418
6,4,0.146089,5.74414,694.162
7,4,0.153452,6.70712,704.301
8,4,0.151181,6.12174,702.22
9,4,0.146199,6.27003,700.835
10,4,0.148994,6.85896,687.356
1,5,0.109942,6.51996,681.095
2,5,0.112694,5.58667,671.122
3,5,0.100814,7.34269,697.544
4,5,0.103569,6.95099,693.517
5,5,0.103576,7.99446,680.757
6,5,0.104055,6.83331,727.371
7,5,0.104865,6.72379,695.586
8,5,0.106446,6.59178,681.289
9,5,0.104827,7.72409,693.666
10,5,0.103167,6.76676,709.703
1,6,0.152419,5.89464,697.843
2,6,0.147274,6.39783,694.186
3,6,0.152564,7.44018,697.719
4,6,0.148924,7.09732,689.434
5,6,0.150094,6.6533,703.507
6,6,0.159358,5.285,705.798
7,6,0.147345,6.7609,715.574
8,6,0.153229,6.35116,693.238
9,6,0.142604,8.02409,702.336
10,6,0.152093,6.93719,692.713
1,7,0.135123,7.5626,744.17
2,7,0.134353,6.63889,749.746
3,7,0.145691,5.79595,734.707
4,7,0.144284,5.2543,748.051
5,7,0.137307,6.51124,743.039
6,7,0.14092,5.99696,757.113
7,7,0.137648,6.16193,736.044
8,7,0.140453,5.86411,758.737
9,7,0.137244,6.45151,740.341
10,7,0.140351,6.65184,745.478
1,8,0.136323,6.30764,704.74
2,8,0.136691,6.24876,707.325
3,8,0.133794,7.05243,692.8
4,8,0.139926,5.91389,709.179
5,8,0.143971,5.65248,703.306
6,8,0.130382,6.93751,698.582
7,8,0.135533,6.43501,714.942
8,8,0.140588,6.13718,693.522
9,8,0.144024,6.01735,704.802
10,8,0.145145,5.66757,704.797
1,9,0.131402,6.82216,696.348
2,9,0.131347,6.24969,725.124
3,9,0.125251,7.07531,696.537
4,9,0.130893,6.23055,706.811
5,9,0.12901,6.24055,703.842
6,9,0.130643,6.09507,713.183
7,9,0.128647,6.41549,686.884
8,9,0.128635,7.16556,700.953
9,9,0.133857,5.49296,700.105
10,9,0.125973,6.3152,705.387
