rep,id,r,K,p,T50,h,l,delta_ef,delta_m,kappa,Cef50,q,T0,Cef0,Cm0
1,CR,0.0272227,5.29203e+16,2.25781,4.93706e+06,0.222157,0.25473,1.49764,0.0893591,1.18954,2.71622e+07,9.62578e-11,5.86652e+12,2.77714e+10,3.40518e+07
2,CR,0.0216814,1.54683e+20,2.97174,2.08168e+06,0.213798,0.151599,2.11448,0.10296,1.41496,8.34133e+07,1.28487e-14,6.8468e+13,1.1891e+10,1.76367e+09
3,CR,0.0545995,2.31455e+14,2.51542,1.95336e+07,0.236733,0.0883602,1.81665,0.0843178,1.34248,8.75702e+06,1.21382e-15,2.34291e+13,2.897e+10,2.20103e+09
4,CR,0.114714,1.62396e+13,3.33617,2.92267e+07,0.25897,0.127929,2.37632,0.093611,1.41514,3.94587e+06,5.89844e-10,3.52229e+13,1.44371e+10,4.64858e+08
5,CR,0.135516,1.75462e+16,4.20081,1.16315e+06,0.300177,0.0763715,3.6013,0.0753452,1.41249,3.84183e+06,5.92406e-13,1.49815e+13,3.18246e+10,1.64686e+08
6,CR,0.077888,5.99518e+20,4.13739,226679,0.182845,0.45738,3.09398,0.0973377,1.47448,2.6764e+07,3.74675e-11,3.99318e+13,2.24838e+10,1.68158e+09
7,CR,0.0134461,1.16379e+16,2.26586,9.79608e+06,0.26948,0.261178,1.47966,0.101253,1.26124,2.96594e+07,1.91565e-11,1.04461e+13,2.51941e+10,1.17241e+08
8,CR,0.0412416,1.45117e+18,3.26449,1.09319e+06,0.24399,0.0702841,2.53225,0.100975,1.31233,3.57337e+07,0.00053828,1.76217e+13,2.81426e+10,6.53242e+08
9,CR,0.0660521,4.55653e+22,4.54297,2.32381e+06,0.345608,0.275928,3.74194,0.0953239,1.41985,5.40384e+06,6.18166e-10,2.70113e+13,1.64042e+10,7.5184e+07
10,CR,0.112786,2.46882e+17,3.2173,1.2658e+07,0.295436,0.21298,2.46107,0.0987462,1.43398,3.19043e+06,2.42006e-07,2.62932e+13,3.27892e+10,3.91444e+08
1,NR,0.0791197,5.48848e+20,1.70957,1.70524e+06,0.235012,6.86281,2.46234,0.124249,1.37465,6.40085e+06,2.50605e-06,3.71124e+12,4.3951e+10,2.08496e+07
2,NR,0.0283321,4.78447e+14,3.16792,1.91451e+07,0.219422,5039.71,1.05147,0.114624,1.20217,1.08287e+07,0.000165649,8.32589e+11,3.75758e+10,5.22282e+08
3,NR,1.44717,2.80404e+13,2.70685,1.87968e+06,0.20281,0.00559306,2.73369,0.0743709,1.34229,3.03378e+06,3.42304e-12,1.33511e+12,7.73799e+10,9.3156e+06
4,NR,0.0480263,1.01795e+21,3.52758,296440,0.295483,342.941,1.58408,0.116641,1.3637,1.86115e+06,4.39474e-14,7.20745e+11,2.90678e+10,4.8871e+07
5,NR,0.024247,7.08695e+21,1.62046,1.8097e+06,0.293559,553.37,2.37959,0.113183,1.30776,1.59037e+06,7.89121e-12,1.37284e+12,3.07768e+10,8.56414e+07
6,NR,0.0736464,7.22133e+22,1.52249,1.191e+07,0.258141,5.33613,4.33117,0.119017,1.52541,1.78975e+07,3.33384e-14,1.82805e+12,1.63379e+10,2.26307e+10
7,NR,0.0239327,1.78672e+19,2.22173,1.269e+07,0.214242,8.15793,2.27036,0.11271,1.27809,1.82334e+07,2.72194e-10,3.60026e+12,4.08387e+10,5.04461e+08
8,NR,0.0127871,1.96016e+17,1.96901,1.12698e+06,0.220814,232.659,2.16099,0.12162,1.30707,4.5173e+06,2.18735e-15,1.79158e+12,4.69395e+10,9.22159e+08
9,NR,0.0562406,9.61137e+18,3.73135,3.93173e+06,0.289369,321.193,1.00323,0.123539,1.51224,845338,6.03076e-14,8.47414e+11,1.72299e+10,2.56631e+10
